,Dealer or Individual?,Price,Year,Location,Mileage,Doors,Color,Engine,Description,Web Link
0,0,23890.0,2022,"Atlanta, GA ",31.0,4,Black,192 hp 1.5L I4,"Hennessy Lexus of Atlanta is proud to offer you this Exceptional 2022 Honda Accord! It comes well appointed, is exceptionally clean, and has undergone a rigorous mechanical and cosmetic reconditioning process. Come see why our cars are a cut above! Options include: **Local Trade-In!**, **Clean Carfax**, Black w/Perforated Leather Seat Trim, Adaptive Cruise Control: Adaptive Cruise Control (ACC) with Low-Speed Follow, Exterior Parking Camera Rear, Forward collision: Collision Mitigation Braking System (CMBS) + FCW mitigation, Front fog lights, Heated Front Bucket Seats, Lane Departure Warning System, Perforated Leather Seat Trim, Wheels: 19"" Machine-Finished Alloy w/Black Inserts. Clean CARFAX. Priced below KBB Fair Purchase Price! At Hennessy Lexus of Atlanta, we offer a tremendous selection of New & Pre-Owned vehicles, accompanied with outstanding deals and unparalleled service! We have a strong and committed sales staff with many years of experience satisfying our customers' needs. We take pride in standing above the competition with a solid reputation and our entire team will ensure your car buying experience exceeds your expectations! We are a proud part of the Hennessy family, the most trusted name for luxury vehicles in metro Atlanta for over 50 years! Hennessy operates 11 dealerships in the Atlanta market, which provides us with access to an over 2,500 vehicle network! No matter what you are interested in, we can help!  Additional Information 8 Speakers,AM/FM radio,Radio data system,Radio: 180-Watt AM/FM Audio System,Air Conditioning,Automatic temperature control,Front dual zone A/C,Rear window defroster,Power driver seat,Power steering,Power windows,Remote keyless entry,Steering wheel mounted audio controls,Four wheel independent suspension,Speed-sensing steering,Traction control,4-Wheel Disc Brakes,ABS brakes,Dual front impact airbags,Dual front side impact airbags,Emergency communication system: HondaLink,Front anti-roll bar,Knee airbag,Low tire pressure warning,Occupant sensing airbag,Overhead airbag,Rear anti-roll bar,Brake assist,Electronic Stability Control,Forward collision: Collision Mitigation Braking System (CMBS) + FCW mitigation,Lane Departure Warning System,Exterior Parking Camera Rear,Auto High-beam Headlights,Delay-off headlights,Front fog lights,Fully automatic headlights,Panic alarm,Security system,Adaptive Cruise Control: Adaptive Cruise Control (ACC) with Low-Speed Follow,Speed control,Bumpers: body-color,Heated door mirrors,Power door mirrors,Spoiler,Apple CarPlay/Android Auto,Driver door bin,Driver vanity mirror,Front reading lights,Illuminated entry,Leather Shift Knob,Leather steering wheel,Outside temperature display,Overhead console,Passenger vanity mirror,Rear seat center armrest,Tachometer,Telescoping steering wheel,Tilt steering wheel,Trip computer,Front Bucket Seats,Front Center Armrest,Heated Front Bucket Seats,Heated front seats,Perforated Leather Seat Trim,Power passenger seat,Split folding rear seat,Passenger door bin,Alloy wheels,Wheels: 19"" Machine-Finished Alloy w/Black Inserts,Speed-Sensitive Wipers,Variably intermittent wipers,**Local Trade-In!**,**Clean Carfax**",https://www.cargurus.com/Cars/l-Used-Honda-Accord-Atlanta-d585_L6054#listing=421324969/NONE/DEFAULT
1,0,23749.0,2022,"Atlanta, GA",75633.0,4,White,192 hp 1.5L I4,"#1 PRICE & #1 VALUE IN THE ATLANTA AREA!! HondaTrue CERTIFIED!! Receive a LIFETIME Limited Powertrain Warranty - FREE OF CHARGE!! New Price! CARFAX One-Owner. Certified. Platinum White Pearl 2022 Honda Accord Sport Special Edition FWD CVT LIFETIME POWERTRAIN WARRANTY, BLUETOOTH MP3, BACKUP CAMERA, REMOTE KEYLESS ENTRY, HEATED SEATS, ONE OWNER, Black w/Perforated Leather Seat Trim, 8 Speakers, ABS brakes, Adaptive Cruise Control: Adaptive Cruise Control (ACC) with Low-Speed Follow, Alloy wheels, AM/FM radio, Apple CarPlay/Android Auto, Auto High-beam Headlights, Automatic temperature control, Brake assist, Delay-off headlights, Dual front impact airbags, Dual front side impact airbags, Electronic Stability Control, Exterior Parking Camera Rear, Forward collision: Collision Mitigation Braking System (CMBS) + FCW mitigation, Front dual zone A/C, Front fog lights, Fully automatic headlights, Heated door mirrors, Heated Front Bucket Seats, Knee airbag, Lane Departure Warning System, Outside temperature display, Overhead airbag, Perforated Leather Seat Trim, Power door mirrors, Power driver seat, Power passenger seat, Radio data system, Radio: 180-Watt AM/FM Audio System, Remote keyless entry, Security system, Steering wheel mounted audio controls. Recent Arrival! 29/35 City/Highway MPG Certification Program Details: * Vehicles purchased within New Vehicle Limited Warranty period: extends New Vehicle Limited Warranty to 5 years*/100,000 miles* (whichever comes first) from original in-service date. * Powertrain Limited Warranty: 84 Month/100,000 Mile (whichever comes first) from original in-service date. * Limited Warranty: 24 Month/100,000 Mile (whichever comes first) after new car warranty expires or from certified purchase date. * Honda Care Motor Club Partner for 1 year/12,000 miles. Up to two complimentary oil changes within the first year of ownership. ..* SiriusXM 90-Day Trial * Roadside Assistance * Transferable Warranty * Vehicle History * 182 Point Inspection * Warranty Deductible: $0 Our vehicles are value priced and move quickly. Be sure to call us to confirm availability and to schedule a hassle free test drive! We are located at: 11085 Alpharetta Highway, Roswell, GA 30076. *Although every reasonable effort has been made to ensure the accuracy of the information contained on this site, absolute accuracy cannot be guaranteed. This site, and all information and materials appearing on it, are presented to the user ""as is"" without warranty of any kind, either express or implied. All vehicles are subject to prior sale. Price does not include applicable tax, title, license, processing and/or documentation fees, Warranty Rights Act fee and destination charges, vehicle price may not include Dealer installed equipment, and Reconditioning/Repair Charges. **Exclusive Limited Lifetime Non-Manufacturer's Powertrain Warranty available on New and Certified Pre-Owned Honda vehicles. See dealer for full details. Non-Transferable. Covered anywhere in the Continental United States.  Additional Information 8 Speakers,AM/FM radio,Radio data system,Radio: 180-Watt AM/FM Audio System,Air Conditioning,Automatic temperature control,Front dual zone A/C,Rear window defroster,Power driver seat,Power steering,Power windows,Remote keyless entry,Steering wheel mounted audio controls,Four wheel independent suspension,Speed-sensing steering,Traction control,4-Wheel Disc Brakes,ABS brakes,Dual front impact airbags,Dual front side impact airbags,Emergency communication system: HondaLink,Front anti-roll bar,Knee airbag,Low tire pressure warning,Occupant sensing airbag,Overhead airbag,Rear anti-roll bar,Brake assist,Electronic Stability Control,Forward collision: Collision Mitigation Braking System (CMBS) + FCW mitigation,Lane Departure Warning System,Exterior Parking Camera Rear,Auto High-beam Headlights,Delay-off headlights,Front fog lights,Fully automatic headlights,Panic alarm,Security system,Adaptive Cruise Control: Adaptive Cruise Control (ACC) with Low-Speed Follow,Speed control,Bumpers: body-color,Heated door mirrors,Power door mirrors,Spoiler,Apple CarPlay/Android Auto,Driver door bin,Driver vanity mirror,Front reading lights,Illuminated entry,Leather Shift Knob,Leather steering wheel,Outside temperature display,Overhead console,Passenger vanity mirror,Rear seat center armrest,Tachometer,Telescoping steering wheel,Tilt steering wheel,Trip computer,Front Bucket Seats,Front Center Armrest,Heated Front Bucket Seats,Perforated Leather Seat Trim,Power passenger seat,Split folding rear seat,Passenger door bin,Alloy wheels,Speed-Sensitive Wipers,Variably intermittent wipers,LIFETIME POWERTRAIN WARRANTY,BLUETOOTH MP3,BACKUP CAMERA,REMOTE KEYLESS ENTRY,HEATED SEATS,ONE OWNER,HondaTrue CERTIFIED",https://www.cargurus.com/Cars/l-Used-Honda-Accord-Atlanta-d585_L6054#listing=419149854/NONE/DEFAULT
2,0,23465.0,2022,"Marietta, GA",63411.0,4,Dark Blue,192 hp 1.5L I4,"At MEGA Motors your trusted used car dealership in Marietta! Were proud to offer a wide variety of high-quality vehicles to fit every need and budget. Whether youre searching for a fuel-efficient sedan a spacious SUV or a tough truck our vehicles are thoroughly inspected to ensure youre getting the best in reliability and performance.As a CARFAX Advantage Dealer all of our vehicles come with a free CARFAX Vehicle History Report and are backed by a 1-Year CARFAX Buyback Guarantee giving you peace of mind with your purchase.We go the extra mile to give you even more value and protection with every vehicle:1 Year Unlimited Roadside Assistance included drive with confidence knowing help is just a call away.5-Year Maintenance Plan keeping your vehicle in top condition has never been easier.Tire Repair or Replacement Coverage weve got you covered for lifes unexpected road hazards.Every vehicle comes with Nitrogen-Inflated Tires providing better tire life improved fuel efficiency enhanced driving performance and greater safety on the road..Financing is easy with us! We offer flexible solutions for both prime and subprime customers so no matter your credit situation were here to help you get behind the wheel. Additionally we provide extended warranty options to give you further protection and confidence on the road.At MEGA Motors were all about transparency quality and customer satisfaction. Come visit us today and find the perfect vehicle to match your lifestyle!  Additional Information Tilt Steering Column,Rear Window Defogger,Deep Tinted Glass,Super Sport,Power Brakes,Rain Sensing Wipers,Electrochromic Interior Rearview Mirror,Electrochromic Exterior Rearview Mirror,Front Air Dam,High Intensity Discharge Headlights,Second Row Folding Seat,Telematics System,Subwoofer,Second Row Side Airbag,Side Head Curtain Airbag,Xenon Headlights,Rear Airbags,Handsfree Wireless,Backup Camera,Bluetooth,Power Steering,MP3 CD Player,Aux Audio Jack,Alarm System,Anti-Lock Brakes,Side Airbags,Bucket Seats,Rear Defroster,Tinted Windows,Power Seats,Satellite Radio,Power Mirrors,Fog Lights,Rear Air,Automatic Climate Control,AM/FM,Tilt Wheel,Power Locks,CD,CD Changer,Child Safety Door Locks,Locking Pickup Truck Tailgate,Power Door Locks,Vehicle Anti-Theft,ABS Brakes,Electronic Brake Assistance,Traction Control,Vehicle Stability Control System,Driver Airbag,Front Side Airbag,Front Side Airbag with Head Protection,Passenger Airbag,Keyless Entry,Remote Ignition,Air Conditioning,Separate Driver/Front Passenger Climate Controls,Cruise Control,Tachometer,Tilt Steering,Leather Steering Wheel,Steering Wheel Mounted Controls,Telescopic Steering Column,Tire Pressure Monitor,Trip Computer,AM/FM Radio,Driver Multi-Adjustable Power Seat,Front Power Lumbar Support,Automatic Headlights,Daytime Running Lights,Alloy Wheels,Power Windows,Heated Exterior Mirror",https://www.cargurus.com/Cars/l-Used-Honda-Accord-Atlanta-d585_L6054#listing=423416515/HIGHLIGHT/DEFAULT
4,0,5800.0,2008,"Flint, MI",124145.0,4,gray,6 Cyl,"Last serviced at 122,605 miles in Livonia, MI on 09/01/24 • Vehicle serviced • Oil and filter changed.",https://www.carfax.com/vehicle/1HGCP36898A044545
8,0,19000.0,2017,"3269 Blinker Parkway, DuBois, PA 15801",60216.0,4,Champagne Frost Pearl, 2.4L I4 16V GDI DOHC,"Champagne Frost Pearl 2017 Honda Accord EX-L w/Navigation and Honda Sensing FWD CVT 2.4L I4 DOHC i-VTEC 16V Ivory Leather, 17 Alloy Wheels, 4-Wheel Disc Brakes, 7 Speakers, ABS brakes, Air Conditioning, Alloy wheels, AM/FM radio: SiriusXM, Apple CarPlay/Android Auto, Auto-dimming Rear-View mirror, Automatic temperature control, Brake assist, Bumpers: body-color, CD player, Compass, Delay-off headlights, Driver door bin, Driver vanity mirror, Dual front impact airbags, Dual front side impact airbags, Electronic Stability Control, Emergency communication system: HondaLink, Exterior Parking Camera Rear, Four wheel independent suspension, Front anti-roll bar, Front Bucket Seats, Front Center Armrest, Front dual zone A/C, Front fog lights, Front reading lights, Fully automatic headlights, Garage door transmitter: HomeLink, Heated door mirrors, Heated Front Bucket Seats, Heated front seats, Illuminated entry, Lane Departure Warning System, Leather-Trimmed Seats, Low tire pressure warning, Memory seat, Navigation System, Occupant sensing airbag, Outside temperature display, Overhead airbag, Overhead console, Panic alarm, Passenger door bin, Passenger vanity mirror, Power door mirrors, Power driver seat, Power moonroof, Power passenger seat, Power steering, Power windows, Radio data system, Radio: 360-Watt AM/FM/HD Premium Audio System, Rear anti-roll bar, Rear seat center armrest, Rear window defroster, Remote keyless entry, Security system, Speed control, Speed-sensing steering, Speed-Sensitive Wipers, Split folding rear seat, Steering wheel mounted audio controls, Tachometer, Telescoping steering wheel, Tilt steering wheel, Traction control, Trip computer, Turn signal indicator mirrors, Variably intermittent wipers, Ivory Leather. Odometer is 43819 miles below market average! 27/36 City/Highway MPG Awards: 2017 IIHS Top Safety Pick+ (When equipped with Honda Sensing and specific headlights) 2017 KBB.com Brand Image Awards 2017 KBB.com 10 Most Awarded Brands Kelley Blue Book Brand Image Awards are based on the Brand Watch(tm) study from Kelley Blue Book Market Intelligence. Award calculated among non-luxury shoppers.",https://www.cars.com/vehicledetail/a2020bcf-55a7-4a14-a2bc-4f36e49a332b/?attribution_type=se_rp
9,0,4959.0,2008,"1794 Maplelawn Road Troy, MI 48084",216671.0,4,Gray,4 Cyl,"Last serviced in Troy, MI on 07/23/25 • Vehicle serviced • Pre-delivery inspection completed • Maintenance inspection completed • A/C and heating system checked • Brakes checked • Front brake pads replaced • Front brake rotor(s) replaced • Nitrogen fill tires • Oil and filter changed • Rear wheel bearing(s)/hub(s) replaced • Vehicle washed/detailed.",https://www.carfax.com/vehicle/JHMCP26708C018886
11,0,11500.0,2008,"2800 Wildwood Ave Jackson, MI 49202",148914.0,4,Silver,6 Cyl,"Last serviced at 132,200 miles in Canton, MI on 03/05/23 • Vehicle serviced • Oil and filter changed.",https://www.carfax.com/vehicle/1HGCP368X8A031237
13,0,22000.0,2022,"13580 W Center St, Burton, OH 44021",127760.0,4,Platinum White Pearl, 1.5L I4 16V GDI DOHC Turbo,"JUST ARRIVED2022 HONDA ACCORD SPORT SPECIAL EDITIONLEATHER HEATED SEATSREMOTE KEYLESS ENTRYREMOTE STARTBACK UP CAMERALANE KEEPING ASSIST19 ALLOY WHEELS Clean CARFAX. CARFAX One-Owner. 29/35 City/Highway MPG INCLUDED FEATURES & OPTIONS: 4-Wheel Disc Brakes, 8 Speakers, ABS brakes, Adaptive Cruise Control: Adaptive Cruise Control (ACC) with Low-Speed Follow, Air Conditioning, Alloy wheels, AM/FM radio, Apple CarPlay/Android Auto, Auto High-beam Headlights, Automatic temperature control, Brake assist, Bumpers: body-color, Delay-off headlights, Driver door bin, Driver vanity mirror, Dual front impact airbags, Dual front side impact airbags, Electronic Stability Control, Emergency communication system: HondaLink, Exterior Parking Camera Rear, Forward collision: Collision Mitigation Braking System (CMBS) + FCW mitigation, Four wheel independent suspension, Front anti-roll bar, Front Bucket Seats, Front Center Armrest, Front dual zone A/C, Front fog lights, Front reading lights, Fully automatic headlights, Heated door mirrors, Heated Front Bucket Seats, Heated front seats, Illuminated entry, Knee airbag, Lane Departure Warning System, Leather Shift Knob, Leather steering wheel, Low tire pressure warning, Occupant sensing airbag. Outside temperature display, Overhead airbag, Overhead console, Panic alarm, Passenger door bin, Passenger vanity mirror, Perforated Leather Seat Trim, Power door mirrors, Power driver seat, Power passenger seat, Power steering, Power windows, Radio data system, Radio: 180-Watt AM/FM Audio System, Rear anti-roll bar, Rear seat center armrest, Rear window defroster, Remote keyless entry, Security system, Speed control, Speed-sensing steering, Speed-Sensitive Wipers, Split folding rear seat, Spoiler, Steering wheel mounted audio controls, Tachometer, Telescoping steering wheel, Tilt steering wheel, Traction control, Trip computer, Variably intermittent wipers, and Wheels: 19 Machine-Finished Alloy w/Black Inserts. ",https://www.cars.com/vehicledetail/fabd7614-fad9-4890-9f8b-1d2fbc268f8c/?attribution_type=se_rp
14,0,12977.0,2008,USA,55048.0,4,Nighthawk Black Pearl,"2.4L I-4 DOHC, i-VTEC variable valve control, regular unleaded,","LOW MILES, CLEAN CARFAX, 2008 HONDA ACCORD EX! This Accord only has 55k miles on it, no accidents or damage reported, good service history records showing in the CarFax, black exterior, tan cloth interior, 2.4L I4, automatic 5-speed, WE HAVE FINANCING AVAILABLE, CALL SARPY COUNTY MOTORS (402) 253-8500!",https://www.cars.com/vehicledetail/c674ba19-9eef-4131-beea-4dc9c1e7d148/
15,0,16393.0,2018,"6131 S Pennsylvania Ave Lansing, MI 48911",92189.0,4,black,4,"2018 Honda Civic EX-T CHRYSLER CERTIFIED, Apple CarPlay/Android Auto, Exterior Parking Camera Rear, Front dual zone A/C, Front fog lights, Heated door mirrors, Heated front seats, Power moonroof, Remote keyless entry. Certified. Certification Program Details: * Vehicles Up to 120,000 Miles and 10 Model Years Between 75,001 and 120,000 Miles. 3 Month/3,000 Mile Maximum Care Limited Warranty, Whichever Comes First, Measured From Certified Pre-Owned Purchase Date. Thorough Reconditioning Process Using Authentic Mopar Parts. Car Rental Allowance, 3-Month Trial Subscription for SiriusXM GuardianTM and Satellite Radio (Excluding Hellcat Vehicles) * Warranty Deductible: $100 * Roadside Assistance * 125 Point Inspection * Vehicle History CARFAX One-Owner. We use state-of-the-art software to price our vehicles to be the most competitive in the market. If you have found a better value, let us know about it. We would love the opportunity to keep giving the best values in the market. NOTE: All Equipment Listed May Not Be Available.",https://www.carfax.com/vehicle/2HGFC3B31JH354814
