title,date,location,link
BOS - Seaport Beer Walk,"October 09, 2025",,https://www.givecampus.com/schools/CarnegieMellonUniversity/events/bos-seaport-beer-walk
NYC - Whale and Dolphin Watching NYC,"October 11, 2025",,https://www.givecampus.com/schools/CarnegieMellonUniversity/events/nyc-whale-and-dolphin-watching-nyc
PIT - Oct. Neighborhood Lunch in North Fayette,"October 14, 2025",,https://www.givecampus.com/schools/CarnegieMellonUniversity/events/pit-oct-neighborhood-lunch-in-north-fayette
PIT - Network Happy Hour at Hazel Grove,"October 15, 2025",,https://www.givecampus.com/schools/CarnegieMellonUniversity/events/pit-network-happy-hour-at-hazel-grove
PIT - Oct. Cranberry Township Neighborhood Luncheon,"October 17, 2025",,https://www.givecampus.com/schools/CarnegieMellonUniversity/events/pit-oct-cranberry-township-neighborhood-luncheon
ATL - Scottish Festival at Stone Mountain,"October 18, 2025",,https://www.givecampus.com/schools/CarnegieMellonUniversity/events/atl-scottish-festival-at-stone-mountain
HLAA - NYC: Coffee with Glenn and Jonathan,"October 18, 2025",,https://www.givecampus.com/schools/CarnegieMellonUniversity/events/hlaa-nyc-coffee-with-glenn-and-jonathan
The CMU Student Experience: A Conversation with Gina Casalegno,"October 21, 2025",,https://www.givecampus.com/schools/CarnegieMellonUniversity/events/the-cmu-student-experience-a-conversation-with-gina-casalegno
Tepper Webinar: Breaking the Mold: Shaping the Future of Women-Owned Businesses,"October 23, 2025",,https://www.givecampus.com/schools/CarnegieMellonUniversity/events/tepper-webinar-breaking-the-mold-shaping-the-future-of-women-owned-businesses
DET - Roush Automotive Collection Tour,"October 24, 2025",,https://www.givecampus.com/schools/CarnegieMellonUniversity/events/det-roush-automotive-collection-tour
HI - Globally Plaid Meetup at WCIT Architecture,"October 24, 2025",,https://www.givecampus.com/schools/CarnegieMellonUniversity/events/hi-globally-plaid-meetup-at-wcit-architecture
SD - Volunteer Event & Brunch Social,"October 25, 2025",,https://www.givecampus.com/schools/CarnegieMellonUniversity/events/sd-volunteer-event-brunch-social
CHI - Historic Pullman District + House Project Tour,"October 25, 2025",,https://www.givecampus.com/schools/CarnegieMellonUniversity/events/chi-historic-pullman-district-house-project-tour
SEA - Arcade Mix & Mingle,"October 25, 2025",,https://www.givecampus.com/schools/CarnegieMellonUniversity/events/sea-arcade-mix-mingle
NYC - Taco Tuesday Happy Hour,"October 28, 2025",,https://www.givecampus.com/schools/CarnegieMellonUniversity/events/nyc-taco-tuesday-happy-hour
DEN - Central City Opera Haunted History Experience (Family Friendly),"November 01, 2025",,https://www.givecampus.com/schools/CarnegieMellonUniversity/events/den-central-city-opera-haunted-history-experience-family-friendly
CMU125 at Homecoming Weekend,"November 06, 2025",,https://cvent.me/bARo1k
125th Anniversary Celebration,"November 06, 2025",,https://www.cmu.edu/125/
NYC - An Afternoon of Art and Creativity,"November 08, 2025",,https://www.givecampus.com/schools/CarnegieMellonUniversity/events/nyc-an-afternoon-of-art-and-creativity
LA - Volunteer Opportunity: 11/11 Project Angel Food Service Day,"November 11, 2025",,https://www.givecampus.com/schools/CarnegieMellonUniversity/events/la-volunteer-opportunity-11-11-project-angel-food-service-day
DET - Holocaust Center Tour,"November 16, 2025",,https://www.givecampus.com/schools/CarnegieMellonUniversity/events/det-holocaust-center-tour
DC - CMU NFL Game Day: Washington Commanders vs. Denver Broncos and Post Game Field Photo,"November 30, 2025",,https://www.givecampus.com/schools/CarnegieMellonUniversity/events/dc-cmu-nfl-game-day-washington-commanders-vs-denver-broncos-and-post-game-field-photo
DEN - Holiday party,"December 13, 2025",,https://www.givecampus.com/schools/CarnegieMellonUniversity/events/den-holiday-party
