title,date,read_more,intro,location
Under The Radar,"Sep 20, 2025 - Mar 21, 2026																											   | 7:00 pm - 8:30 pm",https://downtownpittsburgh.com/events/event/?id=63449,Join us for an entertaining night of hilarious comedy at Under The Radar and support Pittsburgh's vibrant improv scene!,
Co-Workers,"Sep 13, 2025 - Dec 13, 2025																											   | 8:00 pm - 9:30 pm",https://downtownpittsburgh.com/events/event/?id=63298,Co-Workers takes you behind the scenes of an everyday office where anything but the usual happens!,
"Comedy Bingo Night with Barbara, A Mother","Sep 13, 2025 - Feb 14, 2026																											   | 7:00 pm - 8:30 pm",https://downtownpittsburgh.com/events/event/?id=63700,"A comedy variety show featuring improv, characters, games, and more!",
Con Alma Late Happy Hour,"Sep 12, 2025 - Dec 12, 2025																											   | 10:00 pm - 12:00 am",https://downtownpittsburgh.com/events/event/?id=63763,"Con Alma keeps the vibes flowing with two daily Happy Hours—early evenings feature $8 Latin-style cocktails, wine, and $1 off select beers, while late nights bring $9 martinis, Old Fashioneds, and select wines.",
Stand-Up Laboratory,"Sep 4, 2025 - Dec 4, 2025																											   | 9:00 pm - 10:30 pm",https://downtownpittsburgh.com/events/event/?id=63696,"Every month, the Lab will present a mix of feature comics and a roster of comedians chosen from online submissions.",
Celebrating 45 Years of CAPA: Alumni and Faculty Exhibition,"Aug 29, 2025 - Jan 25, 2026",https://downtownpittsburgh.com/events/event/?id=63532,The Pittsburgh Cultural Trusts presenst an exhibition that celebrates the incredible talents of CAPA alumni and faculty for its 45th Anniversary.,
Irony City: Am I The Jagoff?,"Aug 2, 2025 - Dec 6, 2025																											   | 8:00 pm - 9:30 pm",https://downtownpittsburgh.com/events/event/?id=63451,Join veteran comedy troupe Irony City at Arcarde Comedy Theater as they deftly navigate social missteps on the first Saturday of each month.,
Black & Ghost Tour,"Apr 1, 2025 - Dec 30, 2025																											   | 7:00 pm - 9:00 pm",https://downtownpittsburgh.com/events/event/?id=62715,Experience the spookiest of Pittsburgh’s Downtown!,
Best of the Burgh Walking Tour,"Jan 1, 2025 - Dec 31, 2025																											   | 11:00 am - 1:00 pm",https://downtownpittsburgh.com/events/event/?id=61926,"Take a walk with a knowledgable local guide to explore Downtown Pittsburgh's architecture, history and culture.",
Bike the Burgh - Beauty of the Burgh Tour,"Jan 1, 2025 - Dec 22, 2025																											   | 10:00 am - 1:00 pm",https://downtownpittsburgh.com/events/event/?id=61932,This tour is perfect if you are new to the city and you would like to see the most interesting spots of Pittsburgh!,
Con Alma Late Happy Hour,"Sep 16, 2025 - Dec 16, 2025																											   | 9:00 pm - 11:00 pm",https://downtownpittsburgh.com/events/event/?id=63762,"Con Alma keeps the vibes flowing with two daily Happy Hours—early evenings feature $8 Latin-style cocktails, wine, and $1 off select beers, while late nights bring $9 martinis, Old Fashioneds, and select wines.",
Con Alma Early Happy Hour,"Sep 16, 2025 - Dec 16, 2025																											   | 4:30 pm - 6:00 pm",https://downtownpittsburgh.com/events/event/?id=63759,"Con Alma keeps the vibes flowing with two daily Happy Hours—early evenings feature $8 Latin-style cocktails, wine, and $1 off select beers, while late nights bring $9 martinis, Old Fashioneds, and select wines.",
Cona Alma Early Happy Hour,"Sep 14, 2025 - Dec 14, 2025																											   | 4:00 pm - 5:00 pm",https://downtownpittsburgh.com/events/event/?id=63761,"Con Alma keeps the vibes flowing with two daily Happy Hours—early evenings feature $8 Latin-style cocktails, wine, and $1 off select beers, while late nights bring $9 martinis, Old Fashioneds, and select wines.",
Con Alma Early Happy Hour,"Sep 13, 2025 - Dec 13, 2025																											   | 4:00 pm - 6:00 pm",https://downtownpittsburgh.com/events/event/?id=63760,"Con Alma keeps the vibes flowing with two daily Happy Hours—early evenings feature $8 Latin-style cocktails, wine, and $1 off select beers, while late nights bring $9 martinis, Old Fashioneds, and select wines.",
Got Rights?,"Aug 21, 2025 - Dec 18, 2025																											   | 9:00 pm - 10:30 pm",https://downtownpittsburgh.com/events/event/?id=63694,"Arcade Comedy Theater presents Got Rights? - a monthly comedy open mic that celebrates and centers comedy from queer individuals, women, and femmes!",
Bikes & Brews Tour,"Jun 28, 2025 - Dec 28, 2025																											   | 2:00 pm - 5:30 pm",https://downtownpittsburgh.com/events/event/?id=63125,"Bike the Burgh tour tour packed with lots of history, facts about beer making, and beer samples from each of the places we stop at",
Black & Gold Sports History Tour,"Apr 13, 2025 - Dec 28, 2025																											   | 10:30 am - 12:00 pm",https://downtownpittsburgh.com/events/event/?id=62741,The perfect walking tour for sports fans!,
Comedy Bus Tour,"Jan 31, 2025 - Dec 31, 2025																											   | 7:00 pm - 8:30 pm",https://downtownpittsburgh.com/events/event/?id=62069,Get ready for a sightseeing tour like no other! Hop aboard the Burgh Bus where the laughter never stops. Enjoy stunning skyline views and hilarious local comedians!,
