Name,Link,UpcomingEvents,Place,Time
Boozy Bingo,https://pittsburgh.events/event/boozy-bingo-pittsburgh-monday-december-1-2025-700-pm/,1,City Winery - Pittsburgh,"Dec 1, 2025 7:00 PM"
West Virginia Mountaineers Women's Basketball,https://pittsburgh.events/tickets/west-virginia-mountaineers-womens-basketball/,4,West Virginia University Coliseum,"Dec 1, 2025 7:00 PM"
Nutcracker! Magical Christmas Ballet,https://pittsburgh.events/tickets/nutcracker-magic-of-christmas-ballet/,1,Lyell B Clay Concert Theatre - WVU,"Dec 1, 2025 7:30 PM"
Pittsburgh Panthers Basketball,https://pittsburgh.events/tickets/pittsburgh-panthers-basketball/,3,Petersen Events Center,"Dec 2, 2025 3:30 AM"
The Lemonheads,https://pittsburgh.events/tickets/the-lemonheads/,1,Mr Small's Theatre,"Dec 2, 2025 7:00 PM"
Duquesne Dukes Basketball,https://pittsburgh.events/tickets/duquesne-dukes-basketball/,5,UPMC Cooper Fieldhouse,"Dec 2, 2025 7:00 PM"
The Klezmatics,https://pittsburgh.events/tickets/the-klezmatics/,1,City Winery - Pittsburgh,"Dec 2, 2025 7:30 PM"
The Allman Betts Band,https://pittsburgh.events/tickets/the-allman-betts-band/,1,Palace Theatre - PA,"Dec 2, 2025 8:00 PM"
Pvris,https://pittsburgh.events/tickets/pvris/,1,Roxian Theatre,"Dec 2, 2025 8:00 PM"
West Virginia Mountaineers Basketball,https://pittsburgh.events/tickets/west-virginia-mountaineers-basketball/,3,West Virginia University Coliseum,"Dec 3, 2025 3:30 AM"
Youngstown State Penguins Basketball,https://pittsburgh.events/tickets/youngstown-state-penguins-basketball/,2,Beeghly Center,"Dec 3, 2025 3:30 AM"
Mimic,https://pittsburgh.events/tickets/mimic/,1,Jergel's Rhythm Grille,"Dec 3, 2025 7:00 PM"
Death Angel,https://pittsburgh.events/tickets/death-angel/,1,Mr Small's Theatre,"Dec 3, 2025 7:00 PM"
Cirque Musica Holiday Wonderland,https://pittsburgh.events/tickets/cirque-musica-holiday-wonderland/,1,Palace Theatre - PA,"Dec 3, 2025 7:30 PM"
Harrison Gordon,https://pittsburgh.events/tickets/harrison-gordon/,1,Bottlerocket Social Hall,"Dec 3, 2025 8:00 PM"
Cindy Kaza,https://pittsburgh.events/tickets/cindy-kaza/,2,Pittsburgh Improv,"Dec 4, 2025 7:00 PM"
Cody Smith,https://pittsburgh.events/tickets/cody-smith/,1,Crafthouse Stage & Grill,"Dec 4, 2025 7:00 PM"
Wheeling Symphony Orchestra,https://pittsburgh.events/tickets/wheeling-symphony-orchestra/,1,Wesbanco Arena,"Dec 4, 2025 7:00 PM"
The Academy Is...,https://pittsburgh.events/tickets/the-academy-is/,1,Roxian Theatre,"Dec 4, 2025 7:00 PM"
Ekoh,https://pittsburgh.events/tickets/ekoh/,1,Preserving Underground,"Dec 4, 2025 7:00 PM"
