Name,Link,UpcomingEvents,Place,Time
Seton Hill Griffins Football,https://pittsburgh.events/tickets/seton-hill-griffins-football/,1,Offutt Field,"Nov 1, 2025 12:00 PM"
Wheeling Univeristy Cardinals Football,https://pittsburgh.events/tickets/wheeling-univeristy-cardinals-football/,1,Bishop Schmitt Field,"Nov 1, 2025 12:00 PM"
West Liberty Hilltoppers Football,https://pittsburgh.events/tickets/west-liberty-hilltoppers-football/,2,West Family Stadium,"Nov 1, 2025 1:00 PM"
Slippery Rock University Rockets Football,https://pittsburgh.events/tickets/slippery-rock-university-rockets-football/,1,Milhalik-Thompson Stadium,"Nov 1, 2025 1:00 PM"
IUP Crimson Hawks Football,https://pittsburgh.events/tickets/iup-crimson-hawks-football/,1,Miller Stadium at Indiana University of PA,"Nov 1, 2025 2:00 PM"
Dracula - Ballet,https://pittsburgh.events/tickets/dracula-ballet/,3,Benedum Center,"Nov 1, 2025 2:00 PM"
Youngstown Phantoms,https://pittsburgh.events/tickets/youngstown-phantoms/,5,Covelli Centre - Youngstown,"Nov 1, 2025 6:05 PM"
Rivers of Nihil,https://pittsburgh.events/tickets/rivers-of-nihil/,1,Preserving Underground,"Nov 1, 2025 6:30 PM"
The Princess Bride - An Inconceivable Evening with Cary Elwes,https://pittsburgh.events/tickets/the-princess-bride-an-inconceivable-evening-with-cary-elwes/,1,Carnegie of Homestead Music Hall,"Nov 1, 2025 7:00 PM"
Chonda Pierce,https://pittsburgh.events/tickets/chonda-pierce/,1,State Theatre - Uniontown,"Nov 1, 2025 7:00 PM"
From Ashes To New,https://pittsburgh.events/tickets/from-ashes-to-new/,1,Roxian Theatre,"Nov 1, 2025 7:00 PM"
Playboi Carti,https://pittsburgh.events/tickets/playboi-carti/,1,PPG Paints Arena,"Nov 1, 2025 7:00 PM"
Wheeling Nailers,https://pittsburgh.events/tickets/wheeling-nailers/,8,Wesbanco Arena,"Nov 1, 2025 7:10 PM"
Billy Price Band,https://pittsburgh.events/tickets/billy-price-band/,2,City Winery - Pittsburgh,"Nov 1, 2025 7:30 PM"
Pittsburgh Symphony Orchestra,https://pittsburgh.events/tickets/pittsburgh-symphony-orchestra/,10,Heinz Hall,"Nov 1, 2025 7:30 PM"
Hobo Johnson,https://pittsburgh.events/tickets/hobo-johnson/,1,Spirit Hall,"Nov 1, 2025 8:00 PM"
Lil Tecca AKA TEC,https://pittsburgh.events/tickets/lil-tecca/,1,Stage AE,"Nov 1, 2025 8:00 PM"
Totally 80s,https://pittsburgh.events/event/totally-80s-warrendale-saturday-november-1-2025-800-pm/,1,Jergel's Rhythm Grille,"Nov 1, 2025 8:00 PM"
Katt Williams,https://pittsburgh.events/tickets/katt-williams/,1,Petersen Events Center,"Nov 1, 2025 8:00 PM"
