# https://www.nhl.com/penguins/team/leaders-by-season

73-74 | Lowell McDonald (43) | Syl Apps (61) | Syl Apps (85)
72-73 | Al McDonough (35) | Syl Apps (56) | Syl Apps (85)
71-72 | Greg Polis, Jean Pronovost (30) | Syl Apps (44) | Syl Apps (59)
70-71 | Keith McCreary, Dean Prentice, Jean Pronovost (21) | Bryan Hextall (32) | Bryan Hextall (48)
69-70 | Dean Prentice (20) | Michel Briere (32) | Dean Prentice (51)
68-69 | Keith McCreary (25) | Charlie Burns (38) | Ken Schinkel (52)
67-68 | Ab McDonald (22) | Andy Bathgate (39) | Andy Bathgate (58)
Year | Goals | Assists | Points  
24-25 | Sidney Crosby (10) | Sidney Crosby (12) | Kris Letang, Danton Heinen, Blake Lizotte (1)
---|---|---|---
23-24 | Jeff Carter (4), Erik Karlsson (4) | Sidney Crosby (10) | Jeff Carter (2)
22-23 | Sidney Crosby (9) | Jake Guentzel, Evgeni Malkin, Rickard Rakell (11) | Brock McGinn, Ryan Poehling (2)
21-22 | Sidney Crosby (9) | Evgeni Malkin, Bryan Rust (9) | Brian Boyle, Teddy Blueger, Jeff Carter (1)
