# https://www.nhl.com/penguins/team/leaders-by-season

13-14 | Tanner Glass (90) | Sidney Crosby (259) | Matt Niskanen (33)
12-13 | Tanner Glass (62) | Pascal Dupuis (140) | Pascal Dupuis (31)
11-12 | James Neal (87) | Evgeni Malkin (339) | Kris Letang (21)
10-11 | Matt Cooke (128) | Kris Letang (236) | Sidney Crosby (20)
09-10 | Mike Rupp (120) | Sidney Crosby (298) | Jordan Staal (19)
08-09 | Eric Godard (171) | Evgeni Malkin (290) | Rob Scuderi (23)
07-08 | Georges Laraque (141) | Evgeni Malkin (272) | Sidney Crosby (18)
06-07 | Jarkko Ruutu (125) | Sidney Crosby (250) | Jordan Staal (16)
05-06 | Eric Cairns, Brooks Orpik (124) | Sidney Crosby (278) | Colby Armstrong (15)
04-05 | Lockout Season | Lockout Season | Lockout Season
03-04 | Brooks Orpik (127) | Rico Fata (163) | Robert Scuderi (2)
02-03 | Steve McKenna (128) | Mario Lemieux (235) | Guillaume Lefebvre (2)
01-02 | Krzysztof Oliwa (150) | Alexei Kovalev (266) | Robert Lang (9)
00-01 | Krzysztof Oliwa (165) | Jaromir Jagr (317) | Robert Lang (20)
