# https://www.nhl.com/penguins/team/leaders-by-season

Year | PIM | Shots | Plus/Minus  
24-25 | Tristan Jarry(3.12) | Tristan Jarry (16) | Tristan Jarry (2)
---|---|---|---
23-24 | Tristan Jarry (2.91) | Tristan Jarry (19) | Tristan Jarry (6)
22-23 | Tristan Jarry (2.90) | Tristan Jarry (24) | Tristan Jarry (2)
21-22 | Tristan Jarry (2.42) | Tristan Jarry (34) | Tristan Jarry (4)
20-21 | Tristan Jarry (2.75) | Tristan Jarry (25) | Tristan Jarry, Casey DeSmith (2)
19-20 | Matt Murray (2.87) | Tristan Jarry, Matt Murray (20) | Tristan Jarry (3)
18-19 | Matt Murray (2.69) | Matt Murray (29) | Matt Murray (4)
17-18 | Tristan Jarry (2.77) | Matt Murray (27) | Tristan Jarry (2)
16-17 | Matt Murray (2.41) | Matt Murray (32) | Matt Murray (4)
15-16 | Matt Murray (2.00) | Marc-Andre Fleury (35) | Marc-Andre Fleury (5)
14-15 | Marc-Andre Fleury (2.32) | Marc-Andre Fleury (34) | Marc-Andre Fleury (10)
13-14 | Marc-Andre Fleury (2.37) | Marc-Andre Fleury (39) | Marc-Andre Fleury (5)
