# https://www.nhl.com/penguins/team/leaders-by-season

14-15 | Marc-Andre Fleury (2.32) | Marc-Andre Fleury (34) | Marc-Andre Fleury (10)
13-14 | Marc-Andre Fleury (2.37) | Marc-Andre Fleury (39) | Marc-Andre Fleury (5)
12-13 | Marc-Andre Fleury (2.39) | Marc-Andre Fleury (23) | Tomas Vokoun (3)
11-12 | Marc-Andre Fleury (2.36) | Marc-Andre Fleury (42) | Marc-Andre Fleury (3)
10-11 | Brent Johnson (2.17) | Marc-Andre Fleury (36) | Marc-Andre Fleury (1)
09-10 | Marc-Andre Fleury (2.65) | Marc-Andre Fleury (37) | Marc-Andre Fleury (1)
08-09 | Marc-Andre Fleury (2.67) | Marc-Andre Fleury (35) | Marc-Andre Fleury (4)
07-08 | Marc-Andre Fleury (2.33) | Marc-Andre Fleury (19) | Marc-Andre Fleury (4)
06-07 | Marc-Andre Fleury, Jocelyn Thibault (2.83) | Marc-Andre Fleury (40) | Marc-Andre Fleury (5)
05-06 | Marc-Andre Fleury (3.25) | Marc-Andre Fleury (13) | Marc-Andre Fleury, Sebastien Caron (1)
04-05 | Lockout Season | Lockout Season | Lockout Season
