# https://www.nhl.com/penguins/team/leaders-by-season

95-96 | Ken Wregget (3.24) | Tom Barrasso (29) | Ken Wregget (3)
94-95 | Ken Wregget (3.21) | Ken Wregget (25) | none
93-94 | Tom Barrasso (3.36) | Tom Barrasso (22) | Tom Barrasso (2)
92-93 | Tom Barrasso (3.01) | Tom Barrasso (43) | Tom Barrasso (4)
91-92 | Tom Barrasso (3.53) | Tom Barrasso (25) | Tom Barrasso (1)
90-91 | Tom Barrasso (3.59) | Tom Barrasso (27) | Tom Barrasso (1)
89-90 | Wendell Young (4.17) | Wendell Young (16) | Wendell Young (1)
88-89 | Tom Barrasso (4.04) | Tom Barrasso (18) | none
87-88 | Steve Guenette (3.35) | Steve Guenette (12) | Steve Guenette, Frank Pietrangelo (1)
86-87 | Gilles Meloche (3.43) | Gilles Meloche (13) | none
85-86 | Roberto Romano (3.56) | Roberto Romano (21) | Roberto Romano (2)
84-85 | Roberto Romano (4.42) | Denis Herron (10) | Denis Herron, Roberto Romano (1)
83-84 | Denis Herron (4.08) | Denis Herron (8) | Denis Herron, Roberto Romano (1)
82-83 | Michel Dion (4.26) | Michel Dion (12) | Denis Herron (1)
