# https://www.nhl.com/penguins/team/staff

Nick Bonino | Assistant Coach
Rich Clune | Assistant Coach
Andy Chiodo | Goaltending Coach
Madison Nikkel | Video Coach
Troy Paquette | Assistant Video Coach  
Player Personnel  
Trent Mann | Player Development and Scouting Advisor
---|---
Brandon DeFazio | Amateur Scout
Chris Roque | Amateur Scout
Luc Gauthier | Amateur Scout
Dan McLean | Amateur Scout
Robbie Sandland | Amateur Scout
Ryan Breen | Scout
Petri Pakaslahti | Amateur Scout
Evgeny Bogdanovich | Amateur Scout
Krissy Wendell-Pohl | Amateur Scout
Brian Fitzgerald | Amateur Scout
Brian Ihnacak | Amateur Scout
Brandon Dennis | Amateur Scout
Patrik Hall | Amateur Scout
Tommy Enroth | Amateur Scout
Kevin Stevens | Special Assignment Scout
Chris Mueller | Special Assignment Scout
Will Acton | Professional Scout
Jackson Maxwell | Professional Scout
Mark Osiecki | Professional & NCAA Scout
Jason Pietrzykowski | Professional Scout
Jay McClement | Professional Scout
Leonid Vaysfeld | Professional Scout
