# https://www.nhl.com/penguins/team/staff

Jackson Maxwell | Professional Scout
Mark Osiecki | Professional & NCAA Scout
Jason Pietrzykowski | Professional Scout
Jay McClement | Professional Scout
Leonid Vaysfeld | Professional Scout
Craig Patrick | Professional Scout
Chad Nehring | Professional Scout
Gilles Meloche | Pro Special Assignment Scout  
Player Development  
Tom Kostopoulos | Director of Player Development
---|---
Jon Elkin | Director of Goaltending
Chris Butler | Player Development Coach
Matt Cullen | Player Development Coach
Sheldon Brookbank | Player Development Coach/Pro Scout
Evan McFeeters | Roving Minor League Coach
Andrew Fritsch | Skills Consultant, Player Development
Josh Wrobel | Skills Consultant, Player Development
Jeff Murray | Head Skating Coach
Kelly Murray | Video Analyst, Player Development
Darryl Belfry | Player Development Advisor
Mike Chiasson | Goaltending Consultant
Anders Lempia | Video Coordinator  
Hockey Research and Development  
Wells Oliver | Director, Hockey Systems
---|---
