# https://www.nhl.com/penguins/team/staff

---|---
Dr. Melissa McLane, D.O. | Assistant Team Physician
Kevin Elliott | Head Athletic Trainer
Jason Meehan | Director of Reconditioning and Performance Therapy
Brandon Mazza | Performance Therapist/Athletic Trainer
Kevin Wildenhaus | Consultant  
Equipment Staff  
Jon Taglianetti | Head Equipment Manager
---|---
Matthew Mitchell | Assistant Equipment Manager
Danny Kroll | Assistant Equipment Manager
Ryan Shoufer | Assistant Equipment Manager  
Wilkes-Barre/Scranton (AHL)  
Kirk MacDonald | Wilkes-Barre/Scranton Head Coach
---|---
Nick Luukko | Wilkes-Barre/Scranton Assistant Coach
Brad Malone | Wilkes-Barre/Scranton Assistant Coach
Kain Tisi | Wilkes-Barre/Scranton Goaltender Coach
Ethan O'Rourke | Wilkes-Barre/Scranton Video Coach
Jack Walsh | Wilkes-Barre/Scranton Head Equipment Manager
Dave Roper | Wilkes-Barre/Scranton Assistant Equipment Manager
Owen Ross | Wilkes-Barre/Scranton Assistant Equipment Manager
Zander Kosmala | Wilkes-Barre/Scranton Head Athletic Trainer
