# https://www.nhl.com/penguins/team/staff

Madison Kerrigan | Coordinator, Partnership Marketing
CJ Monroe | Coordinator, Partnership Marketing
William Millick | Coordinator, Partnership Operations & Virtual
Jared Milstein | Coordinator, Partnership Operations
Noah Audas | PPG Specialist Fellow
Alex Corbin | Partnership Marketing Fellow  
Content and Production  
Rod Murray | Senior Director, Production and Game Presentation
---|---
Mike Davenport | Senior Director, Production Operations
Meghan McManimon | Senior Manager, Game Presentation
Zachary Tyke | Manager, Production Technology Operations
Michelle Crechiolo | Team Reporter
Andrew McIntyre | Producer, In The Room
Jon Otte | Producer, In The Room
Sydney Bauer | Producer, PensTV
Joe Brand | Penguins Radio Network Play-by-Play
Phil Bourque | Penguins Radio Network Color Analyst
Colby Armstrong | On-Air Talent/Partner Liaison
Ryan Mill | Public Address Announcer  
Finance  
Nate Hillman | Controller
---|---
Troy Ussack | Senior Accountant
