# https://www.nhl.com/penguins/team/staff

Colby Armstrong | On-Air Talent/Partner Liaison
Ryan Mill | Public Address Announcer  
Finance  
Nate Hillman | Controller
---|---
Troy Ussack | Senior Accountant
Megan McMonagle | Senior Manager, Financial Planning and Analysis
Michael Grott | Senior Manager, Accounting
Andrea Winschel | Manager, Payroll
Devin Hagens | Accounting Analyst
Tawni Love | Accounts Payable  
Ticketing Sales and Operations  
George Murphy | Senior Director, Guest Experience and Ticket Services
---|---
Connor Siskovic | Director, Ticket Sales
Jake Sullivan | Senior Account Executive, Group Sales
Kyle Blend | Account Executive, Group Sales
Amy Knoebl | Account Executive, Group Sales
Olivia Stawovy | Account Executive, Group Sales
Ava D'Amato |  Account Executive, Group Sales,
Will Allison | Senior New Business Representative
Andrew Arrigo | New Business Representative
Valerie Gabay | New Business Representative
Nicole Lakovic | Membership Service Representative
