# https://www.nhl.com/penguins/team/staff

Will Allison | Senior New Business Representative
Andrew Arrigo | New Business Representative
Valerie Gabay | New Business Representative
Nicole Lakovic | Membership Service Representative
Caroline Pauly | Membership Service Representative
Cassandra Wangler | Membership Service Representative
Jack Kenney | Membership Service Representative
Inside Sales |
Alex Hay | Inside Sales Representative
Andrew McGinnis | Inside Sales Representative
Jason Yurek | Inside Sales Representative
Kaelyn Adams | Inside Sales Representative
Ticket Operations |
Erin Exley | Vice President, Ticket Marketing and Operations
Danny Gardner | Director, Ticket Operations
Kelly Gabany | Senior Manager, Box Office
Jessica Martin | Manager, Ticket Sales and Operations
Premium Sales |
Alexa Glover | Director, Premium Sales, Service and Membership Retention
George Birman | Senior Manager, Club Seat Sales and Retention
Briana Harris | Manager, Premium Sales and Retention
Jeff Blizman | Manager, Premium Seating
