# https://www.nhl.com/penguins/tickets/12-packs
## 12-Pack Flex

## 12-Pack Flex  
Create your custom plan! Mix and match between FedEx Level, Center Ice Clubs and Casamigos Club seating. With your purchase in Section 109, enjoy early entry and exclusive access to an ice-level lounge with all-inclusive food, beer and wine!  
* Select Games  
LOCATION | BLACK & GOLD | FLEX
---|---|---
Club Seating Tier 1 |  | $2,892
Club Seating Tier 2 | $2,496 | $2,520
Casamigos Club Tier 1 | $3,600 |
Casamigos Club Tier 2 |  | $3,492
FedEx Level Tier 5 | $1,824 |
FedEx Tier 6 |  | $1,668
FedEx Level Tier 7 | $1,620 |
FedEx Level Tier 8 | $1,500 |
FedEx Level Tier 9 |  | $1,404
FedEx Level Tier 10 | $1,224 |
Coca-Cola Zero Sugar Level Tier 2 | $1,188 |
Coca-Cola Zero Sugar Level Tier 5 | $900 |
Coca-Cola Zero Sugar Level Tier 6 | $804 |
Coca-Cola Zero Sugar Level Tier 7 | $696 |
