# Steelers All-Time Draft Picks | Pittsburgh Steelers - Steelers.com

# Steelers All-Time Draft Picks | Pittsburgh Steelers - Steelers.com  
**2025 21st Overall (2 offensive, 4 defensive, 1 special teams)**  
Rd  | Player (Pos) | School | PK (Overall)
---|---|---|---
1  |  Derrick Harmon (DT) |  Oregon  |  21
3  |  Kaleb Johnson (RB) |  Iowa  |  83
4  |  Jack Sawyer (OLB) |  Ohio State  |  123
5  |  Yahya Black (DE) |  Iowa  |  164
6  |  Will Howard (QB) |  Ohio State  |  185
7  |  Carson Bruener (LB)  |  Washington  |  226
7  |  Donte Kent (CB/PR) |  Central Michigan  |  229  
**2024 20th Overall (4 offensive, 3 defensive, 0 special teams)**  
Table inside Article  Rd | Player (Pos) | School | PK (Overall)
---|---|---|---
1  |  Troy Fautanu (OT) |  Washington  |  20
2  |  Zach Frazier (C) |  West Virginia  |  51
3  |  Roman Wilson (WR) |  Michigan  |  84
3  |  Payton Wilson (LB) |  N.C. State  |  98
4  |  Mason McCormick (G) |  South Dakota State  |  119
6  |  Logan Lee (DE) |  Iowa  |  178
6  |  Ryan Watts (DB) |  Texas  |  195
