# Steelers All-Time Draft Picks | Pittsburgh Steelers - Steelers.com

3  |  Payton Wilson (LB) |  N.C. State  |  98
4  |  Mason McCormick (G) |  South Dakota State  |  119
6  |  Logan Lee (DE) |  Iowa  |  178
6  |  Ryan Watts (DB) |  Texas  |  195  
**2023 14th Overall (3 offensive, 4 defensive, 0 special teams)**  
Table inside Article  Rd | Player (Pos) | School | PK (Overall)
---|---|---|---
1  |  Broderick Jones (OT) |  Georgia  |  14
2  |  Joey Porter Jr. (CB) |  Penn State  |  32
2  |  Keeanu Benton (DL) |  Wisconsin  |  49
3  |  Darnell Washington (TE) |  Georgia  |  93
4  |  Nick Herbig (LB) |  Wisconsin  |  132
7  |  Cory Trice Jr. (DB) |  Purdue  |  241
7  |  Spencer Anderson (OL) |  Maryland  |  251  
**2022 20th Overall (5 offensive, 2 defensive, 0 special teams)**  
Table inside Article  Rd | Player (Pos) | School | PK (Overall)
---|---|---|---
1  |  Kenny Pickett (QB) |  Pittsburgh  |  20
2  |  George Pickens (WR) |  Georgia  |  52
3  |  DeMarvin Leal (DE) |  Texas A&M  |  84
4  |  Calvin Austin III (WR) |  Memphis  |  138
