# Steelers All-Time Draft Picks | Pittsburgh Steelers - Steelers.com

6  |  Quincy Roche (LB) |  Miami (Fla.)  |  216
7  |  Tre Norwood (S) |  Oklahoma  |  245
7  |  Pressley Harvin III (P) |  Georgia Tech  |  254  
**2020 17th Overall (3 offensive, 3 defensive)**  
Table inside Article  Rd | Player (Pos) | School | PK (Overall)
---|---|---|---
2  |  Chase Claypool (WR) |  Notre Dame  |  49
3  |  Alex Highsmith (LB) |  Charlotte  |  102
4  |  Anthony McFarland Jr. (RB) |  Maryland  |  124
4  |  Kevin Dotson (OL) |  Louisiana  |  135
6  |  Antoine Brooks Jr. (S) |  Maryland  |  198
7  |  Carlos Davis (DT) |  Nebraska  |  232  
**2019 10th Overall (4 offensive, 5 defensive)**  
Table inside Article  Rd | Player (Pos) | School | PK (Overall)
---|---|---|---
1  |  Devin Bush (LB) |  Michigan  |  10
3  |  Diontae Johnson (WR) |  Toledo  |  66
3  |  Justin Layne (DB) |  Michigan State  |  83
4  |  Benny Snell Jr. (RB) |  Kentucky  |  122
5  |  Zach Gentry (TE) |  Michigan  |  141
6  |  Sutton Smith (LB) |  Northern Illinois  |  175
