# Steelers All-Time Draft Picks | Pittsburgh Steelers - Steelers.com

3  |  Justin Layne (DB) |  Michigan State  |  83
4  |  Benny Snell Jr. (RB) |  Kentucky  |  122
5  |  Zach Gentry (TE) |  Michigan  |  141
6  |  Sutton Smith (LB) |  Northern Illinois  |  175
6  |  Isaiah Buggs (DE) |  Alabama  |  192
6  |  Ulysses Gilbert (LB) |  Akron  |  207
7  |  Derwin Gray (OL) |  Maryland  |  219  
**2018 25th Overall (4 offensive, 3 defensive)**  
Table inside Article  Rd | Player (Pos) | School | PK (Overall)
---|---|---|---
1  |  Terrell Edmunds (S) |  Virginia Tech  |  28
2  |  James Washington (WR) |  Oklahoma State  |  60
3a  |  Mason Rudolph (QB) |  Oklahoma State  |  76
3b  |  Chukc Okorafor (OT) |  Western Michigan  |  92
5a  |  Marcus Allen (S) |  Penn State  |  148
5b  |  Jaylen Samuels (RB) |  North Carolina State  |  165
7  |  Joshua Frazier (DL) |  Alabama  |  246  
**2017 25th Overall (4 offensive, 4 defensive)**  
Table inside Article  Rd | Player (Pos) | School | PK (Overall)
---|---|---|---
1  |  T.J. Watt (LB)  |  Wisconsin  |  30
