# Steelers All-Time Draft Picks | Pittsburgh Steelers - Steelers.com

4  |  Jerald Hawkins (OT)  |  LSU  |  123
6  |  Travis Feeney (LB)  |  Washington  |  220 (Comp.)
7a  |  Demarcus Ayers (WR)  |  Houston  |  229
7b  |  Tyler Matakevich (LB)  |  Temple  |  246  
**2015 15th Overall (2 offensive, 6 defensive)**  
Table inside Article  Rd | Player (Pos) | School | PK (Overall)
---|---|---|---
1  |  Bud Dupree (LB)  |  Kentucky  |  22
2  |  Senquez Golson (CB)  |  Mississippi  |  56
3  |  Sammie Coates (WR)  |  Auburn  |  87
4  |  Doran Grant (CB)  |  Ohio State  |  121
5  |  Jesse James (TE)  |  Penn State  |  160
6a  |  Leterrius Walton (DE)  |  Central Michigan  |  199
6b  |  Anthony Chickillo (LB)  |  Miami (Fla.)  |  212 (Comp.)
7  |  Gerod Holliman (S)  |  Louisville  |  218  
**2014 15th Overall (4 offensive, 5 defensive)**  
Table inside Article  Rd | Player (Pos) | School | PK (Overall)
---|---|---|---
1  |  Ryan Shazier (LB)  |  Ohio State  |  15
2  |  Stephon Tuitt (DE)  |  Notre Dame  |  45
