# Steelers All-Time Draft Picks | Pittsburgh Steelers - Steelers.com

3  |  Markus Wheaton (WR)  |  Oregon State  |  79
4a  |  Shamarko Thomas (S)  |  Syracuse  |  111
4b  |  Landry Jones (QB)  |  Oklahoma  |  115
5  |  Terry Hawthorne (CB)  |  Illinois  |  150
6a  |  Justin Brown (WR)  |  Oklahoma  |  186
6b  |  Vince Williams (LB)  |  Florida State  |  206
7  |  Nick Williams (DT)  |  Samford  |  223  
**2012 24th Overall (6 offensive, 3 defensive)**  
Table inside Article  Rd | Player (Pos) | School | PK (Overall)
---|---|---|---
1  |  David DeCastro (OG)  |  Stanford  |  24
2  |  Mike Adams (OT)  |  Ohio State  |  56
3  |  Sean Spence (LB)  |  Miami (Fla.)  |  86
4  |  Ta'amu Alameda (DT)  |  Washington  |  109
5  |  Chris Rainey (RB)  |  Florida  |  159
7a  |  Toney Clemons (WR)  |  Colorado  |  231
7b  |  David Paulson (TE)  |  Oregon  |  240 (Comp.)
7c  |  Terrence Frederick (CB)  |  Texas A&M  |  246 (Comp.)
7d  |  Kelvin Beachum (OG)  |  SMU  |  248 (Comp.)  
**2011 31st Overall (3 offensive, 4 defensive)**
