# Steelers All-Time Draft Picks | Pittsburgh Steelers - Steelers.com

7c  |  Terrence Frederick (CB)  |  Texas A&M  |  246 (Comp.)
7d  |  Kelvin Beachum (OG)  |  SMU  |  248 (Comp.)  
**2011 31st Overall (3 offensive, 4 defensive)**  
Table inside Article  Rd | Player (Pos) | School | PK (Overall)
---|---|---|---
1  |  Cameron Heyward (DT)  |  Ohio State  |  31
2  |  Marcus Gilbert (OT)  |  Florida  |  63
3  |  Curtis Brown (CB)  |  Texas  |  95
4  |  Cortez Allen (CB)  |  The Citadel  |  128
5  |  Chris Carter (LB)  |  Fresno State  |  162
6  |  Keith Williams (OG)  |  Nebraska  |  196
7  |  Baron Batch (RB)  |  Texas Tech  |  232  
**2010 18th Overall (5 offensive, 5 defensive)**  
Table inside Article  Rd | Player (Pos) | School | PK (Overall)
---|---|---|---
1  |  Maurkice Pouncey (C)  |  Florida  |  18
2  |  Jason Worilds (LB)  |  Virginia Tech  |  52
3  |  Emmanuel Sanders (WR)  |  SMU  |  82
4  |  Thaddeus Gibson (DE)  |  Ohio State  |  116
5a  |  Chris Scott (OT)  |  Tennessee  |  151
5b  |  Crezdon Butler (CB)  |  Clemson  |  164 (Comp.)
