# Steelers All-Time Draft Picks | Pittsburgh Steelers - Steelers.com

3  |  Emmanuel Sanders (WR)  |  SMU  |  82
4  |  Thaddeus Gibson (DE)  |  Ohio State  |  116
5a  |  Chris Scott (OT)  |  Tennessee  |  151
5b  |  Crezdon Butler (CB)  |  Clemson  |  164 (Comp.)
5c  |  Stevenson Sylvester (LB)  |  Utah  |  166 (Comp.)
6a  |  Jonathan Dwyer (RB)  |  Georgia Tech  |  188
6b  |  Antonio Brown (WR)  |  Central Michigan  |  195
7  |  Doug Worthington (DT)  |  Ohio State  |  242 (Comp.)  
**2009 32nd Overall (5 offensive, 4 defensive)**  
Table inside Article  Rd | Player (Pos) | School | PK (Overall)
---|---|---|---
1  |  Evander "Ziggy" Hood (DE/DT)  |  Missouri  |  32
2  |  Choice to Denver  |  |
3a  |  Kraig Urbik (OG)  |  Wisconsin  |  79
3b  |  Mike Wallace (WR)  |  Mississippi  |  84
3c  |  Keenan Lewis (CB)  |  Oregon State  |  96
5a  |  Joe Burnett (CB)  |  Central Florida  |  168
5b  |  Frank Summers (RB/FB)  |  UNLV  |  169 (Comp.)
6  |  Ra'Shon "Sunny" Harris (DT)  |  Oregon  |  205
7a  |  A.Q. Shipley (C)  |  Penn State  |  226
