# Steelers All-Time Draft Picks | Pittsburgh Steelers - Steelers.com

5b  |  Frank Summers (RB/FB)  |  UNLV  |  169 (Comp.)
6  |  Ra'Shon "Sunny" Harris (DT)  |  Oregon  |  205
7a  |  A.Q. Shipley (C)  |  Penn State  |  226
7b  |  David Johnson (TE)  |  Arkansas State  |  241  
**2008 23rd Overall (4 offensive, 3 defensive)**  
Table inside Article  Rd | Player (Pos) | School | PK (Overall)
---|---|---|---
1  |  Rashard Mendenhall (RB)  |  Illinois  |  23
2  |  Limas Sweed (WR)  |  Texas  |  53
3  |  Bruce Davis (LB)  |  UCLA  |  88
4  |  Tony Hills (OL)  |  Texas  |  130
5  |  Dennis Dixon (QB)  |  Oregon  |  156
6a  |  Mike Humpal (LB)  |  Iowa  |  188
6b  |  Ryan Mundy (S)  |  West Virginia  |  194
7  |  Choice to Atlanta  |  |  
**2007 15th Overall (3 offensive, 4 defensive, 1 punter)**  
Table inside Article  Rd | Player (Pos) | School | PK (Overall)
---|---|---|---
1  |  Lawrence Timmons (LB)  |  Florida State  |  15
2  |  LaMarr Woodley (LB)  |  Michigan  |  46
3  |  Matt Spaeth (TE)  |  Minnesota  |  77
