# Steelers All-Time Draft Picks | Pittsburgh Steelers - Steelers.com

---|---|---|---
1  |  Lawrence Timmons (LB)  |  Florida State  |  15
2  |  LaMarr Woodley (LB)  |  Michigan  |  46
3  |  Matt Spaeth (TE)  |  Minnesota  |  77
4a  |  Daniel Sepulveda (P)  |  Baylor  |  112
4b  |  Ryan McBean (DE)  |  Oklahoma State  |  132 (Comp.)
5a  |  Cameron Stephenson (OG)  |  Rutgers  |  156
5b  |  William Gay (CB)  |  Louisville  |  170 (Comp.)
6  |  Choice to Green Bay  |  |
7  |  Dallas Baker (WR)  |  Florida  |  277  
**2006 32nd Overall (7 offensive, 2 defensive)**  
Table inside Article  Rd | Player (Pos) | School | PK (Overall)
---|---|---|---
1  |  Santonio Holmes (WR)  |  Ohio State  |  25
2  |  Choice to Minnesota  |  |
3a  |  Anthony Smith (FS)  |  Syracuse  |  83
3b  |  Willie Reid (WR)  |  Florida State  |  95
4a  |  Willie Colon (OT)  |  Hofstra  |  131 (Comp.)
4b  |  Orien Harris (DE)  |  Miami (Fla.)  |  133 (Comp.)
5a  |  Omar Jacobs (QB)  |  Bowling Green  |  164
5b  |  Charles Davis (TE)  |  Purdue  |  167 (Comp.)
