# Steelers All-Time Draft Picks | Pittsburgh Steelers - Steelers.com

4b  |  Orien Harris (DE)  |  Miami (Fla.)  |  133 (Comp.)
5a  |  Omar Jacobs (QB)  |  Bowling Green  |  164
5b  |  Charles Davis (TE)  |  Purdue  |  167 (Comp.)
6  |  Marvin Philip (C)  |  California  |  201
7  |  Cedric Humes (RB)  |  Virginia Tech  |  240  
**2005 30th Overall (5 offensive, 3 defensive)**  
Table inside Article  Rd | Player (Pos) | School | PK (Overall)
---|---|---|---
1  |  Heath Miller (TE)  |  Virginia  |  30
2  |  Bryant McFadden (CB)  |  Florida State  |  62
3  |  Trai Essex (OT)  |  Northwestern  |  93
4  |  Fred Gibson (WR)  |  Georgia  |  131
5  |  Rian Wallace (LB)  |  Temple  |  166
6  |  Chris Kemoeatu (OG)  |  Utah  |  204
7a  |  Shaun Nua (DE)  |  BYU  |  228
7b  |  Noah Herron (RB)  |  Northwestern  |  244  
**2004 11th Overall (5 offensive, 3 defensive)**  
Table inside Article  Rd | Player (Pos) | School | PK (Overall)
---|---|---|---
1  |  Ben Roethlisberger (QB)  |  Miami (Ohio)  |  11
2  |  Ricardo Colclough (CB)  |  Tusculum  |  38
