# Steelers All-Time Draft Picks | Pittsburgh Steelers - Steelers.com

5  |  Brian St. Pierre (QB)  |  Boston College  |  163
6  |  Choice to Kansas City  |  |
7  |  J.T. Wall (FB)  |  Georgia  |  242  
**2002 30th Overall (4 offensive, 4 defensive)**  
Table inside Article  Rd | Player (Pos) | School | PK (Overall)
---|---|---|---
1  |  Kendall Simmons (OG)  |  Auburn  |  30
2  |  Antwaan Randle El (WR)  |  Indiana  |  62
3  |  Chris Hope (S)  |  Florida State  |  94
4  |  Larry Foote (LB)  |  Michigan  |  128
5  |  Verron Haynes (FB)  |  Georgia  |  166
6  |  Lee Mays (WR)  |  UTEP  |  202
7a  |  LaVar Glover (CB)  |  Cincinnati  |  212 (Comp.)
7b  |  Brett Keisel (DE)  |  BYU  |  242  
**2001 19th Overall (3 offensive, 4 defensive)**  
Table inside Article  Rd | Player (Pos) | School | PK (Overall)
---|---|---|---
1  |  Casey Hampton (DT)  |  Texas  |  19
2  |  Kendrell Bell (LB)  |  Georgia  |  39
3  |  Forfeited  |  |
4  |  Mathias Nkwenti (OT)  |  Temple  |  111
5  |  Chukky Okobi (C/OG)  |  Purdue  |  146
