# Steelers All-Time Draft Picks | Pittsburgh Steelers - Steelers.com

1  |  Casey Hampton (DT)  |  Texas  |  19
2  |  Kendrell Bell (LB)  |  Georgia  |  39
3  |  Forfeited  |  |
4  |  Mathias Nkwenti (OT)  |  Temple  |  111
5  |  Chukky Okobi (C/OG)  |  Purdue  |  146
6a  |  Rodney Bailey (DE)  |  Ohio State  |  181
6b  |  Roger Knight (LB)  |  Wisconsin  |  182
7  |  Chris Taylor (WR)  |  Texas A&M  |  218  
**2000 8th Overall (4 offensive, 5 defensive)**  
Table inside Article  Rd | Player (Pos) | School | PK (Overall)
---|---|---|---
1  |  Plaxico Burress (WR)  |  Michigan State  |  8
2  |  Marvel Smith (OL)  |  Arizona State  |  38
3a  |  Kendrick Clancy (DE)  |  Mississippi  |  72
3b  |  Hank Poteat (CB)  |  Pittsburgh  |  77
4  |  Danny Farmer (WR)  |  UCLA  |  103
5a  |  Clark Haggans (LB)  |  Colorado State  |  137
5b  |  Tee Martin (QB)  |  Tennessee  |  163 (Comp.)
6a  |  Chris Combs (DT)  |  Duke  |  173
6b  |  Jason Gavadza (TE)  |  Kent State  |  204 (Comp.)
7  |  Choice to Washington  |  |
