# Steelers All-Time Draft Picks | Pittsburgh Steelers - Steelers.com

5b  |  Tee Martin (QB)  |  Tennessee  |  163 (Comp.)
6a  |  Chris Combs (DT)  |  Duke  |  173
6b  |  Jason Gavadza (TE)  |  Kent State  |  204 (Comp.)
7  |  Choice to Washington  |  |  
**1999 13th Overall (5 offensive, 5 defensive, 1 kicker)**  
Table inside Article  Rd | Player (Pos) | School | PK (Overall)
---|---|---|---
1  |  Troy Edwards (WR)  |  Louisiana Tech  |  13
2a  |  Choice to Minnesota  |  |
2b  |  Scott Shields (S)  |  Weber State  |  59
3a  |  Joey Porter (LB)  |  Colorado State  |  73
3b  |  Kris Farris (T)  |  UCLA  |  74
3c  |  Amos Zereoue (RB)  |  West Virginia  |  95 (Comp.)
4  |  Aaron Smith (DE)  |  Northern Colorado  |  109
5a  |  Jerame Tuman (TE)  |  Michigan  |  136
5b  |  Choice to Oakland  |  |
5c  |  Malcolm Johnson (WR)  |  Notre Dame  |  166 (Comp.)
6  |  Choice to N.Y. Jets  |  |
7a  |  Antonio Dingle (DT)  |  Virginia  |  214
7b  |  Chad Kelsay (LB)  |  Nebraska  |  219
7c  |  Kris Brown (K)  |  Nebraska  |  228
