# Steelers All-Time Draft Picks | Pittsburgh Steelers - Steelers.com

6b  |  Ryan Olson (LB)  |  Colorado  |  186 (Comp.)
7a  |  Choice to San Francisco  |  |
7b  |  Angel Rubio (DE)  |  Southeast Missouri State  |  221 (Comp.)  
**1997 24th Overall (4 offensive, 4 defensive)**  
Table inside Article  Rd | Player (Pos) | School | PK (Overall)
---|---|---|---
1  |  Chad Scott (DB)  |  Maryland  |  24
2  |  Will Blackwell (WR)  |  San Diego State  |  53
3a  |  Paul Wiggins (T)  |  Oregon  |  82
3b  |  Mike Vrable (DE)  |  Ohio State  |  91 (Comp.)
4  |  Choice to Miami  |  |
5  |  George Jones (RB)  |  San Diego State  |  154
6a  |  Darly Porter (DB)  |  Boston College  |  186
6b  |  Rod Manuel (DE)  |  Oklahoma  |  199 (Comp.)
7  |  Micheal Adams (WR)  |  Texas  |  223  
**1996 29th Overall (4 offensive, 5 defensive)**  
Table inside Article  Rd | Player (Pos) | School | PK (Overall)
---|---|---|---
1  |  Jamain Stephens (T)  |  North Carolina A&T  |  29
2  |  Choice to St. Louis  |  |
3a  |  Steve Conley (LB)  |  Arkansas  |  72
