# Steelers All-Time Draft Picks | Pittsburgh Steelers - Steelers.com

4a  |  Oliver Gibson (DE)  |  Notre Dame  |  120
4b  |  Donta Jones (LB)  |  Nebraska  |  125
5a  |  Lethon Flowers (DB)  |  Georgia Tech  |  151
5b  |  Lance Brown (DB)  |  Indiana  |  161
6  |  Barron Miles (DB)  |  Nebraska  |  199
7a  |  Henry Bailey (WR)  |  UNLV  |  235
7b  |  Cole Ford (K)  |  USC  |  247 (Comp.)  
**1994 17th Overall (5 offensive, 5 defensive)**  
Table inside Article  Rd | Player (Pos) | School | PK (Overall)
---|---|---|---
1  |  Charles Johnson (WR)  |  Colorado  |  17
2  |  Brentson Buckner (DE)  |  Clemson  |  50
3a  |  Jason Gildon (LB)  |  Oklahoma State  |  88
3b  |  Bam Morris (RB)  |  Texas Tech  |  91
4  |  Ta'ase Faumui (DE)  |  Hawaii  |  122
5a  |  Myron Bell (DB)  |  Michigan State  |  140
5b  |  Gary Brown (T)  |  Georgia Tech  |  148
6a  |  Jim Miller (QB)  |  Michigan State  |  178
6b  |  Eric Ravotti (LB)  |  Penn State  |  180
7  |  Brice Abrams (RB)  |  Michigan  |  209  
**1993 23rd Overall (4 offensive, 6 defensive)**
