# Steelers All-Time Draft Picks | Pittsburgh Steelers - Steelers.com

6a  |  Jim Miller (QB)  |  Michigan State  |  178
6b  |  Eric Ravotti (LB)  |  Penn State  |  180
7  |  Brice Abrams (RB)  |  Michigan  |  209  
**1993 23rd Overall (4 offensive, 6 defensive)**  
Table inside Article  Rd | Player (Pos) | School | PK (Overall)
---|---|---|---
1  |  Deon Figures (DB)  |  Colorado  |  23
2a  |  Chad Brown (LB)  |  Colorado  |  44
2b  |  Choice to Indianapolis  |  |
3  |  Andre Hastings (WR)  |  Georgia  |  76
4  |  Kevin Henry (DE)  |  Mississippi State  |  108
5a  |  Lonnie Palelei (G)  |  UNLV  |  135
5b  |  Marc Woodard (LB)  |  Mississippi State  |  140
6  |  Willie Williams (DB)  |  Western Carolina  |  162
7a  |  Jeff Zgonina (DT)  |  Purdue  |  185
7b  |  Craig Keith (TE)  |  Lenoir-Rhyne  |  189
8  |  Alex Van Pelt (QB)  |  Pittsburgh  |  216  
**1992 11th Overall (8 offensive, 6 defensive)**  
Table inside Article  Rd | Player (Pos) | School | PK (Overall)
---|---|---|---
1  |  Leon Searcy (T)  |  Miami (Fla.)  |  11
