# Steelers All-Time Draft Picks | Pittsburgh Steelers - Steelers.com

**1992 11th Overall (8 offensive, 6 defensive)**  
Table inside Article  Rd | Player (Pos) | School | PK (Overall)
---|---|---|---
1  |  Leon Searcy (T)  |  Miami (Fla.)  |  11
2  |  Levon Kirkland (LB)  |  Clemson  |  38
3  |  Joel Steed (NT)  |  Colorado  |  67
4  |  Charles Davenport (WR)  |  North Carolina State  |  94
5  |  Alan Haller (DB)  |  Michigan State  |  123
6  |  Choice to San Francisco  |  |
7a  |  Russ Campbell (TE)  |  Kansas State  |  179
7b  |  Scottie Graham (RB)  |  Ohio State  |  188
8a  |  Darren Perry (DB)  |  Penn State  |  203
8b  |  Hesham Ismail (G)  |  Florida  |  206
8c  |  Nate Williams (DT)  |  Mississippi State  |  215
9  |  Elnardo Webster (LB)  |  Rutgers  |  235
10  |  Mike Saunders (RB)  |  Iowa  |  262
11  |  Kendall Gammon (G)  |  Pittsburg State  |  291
12  |  Cornelius Benton (QB)  |  Connecticut  |  318  
**1991 15th Overall (7 offensive, 5 defensive)**  
Table inside Article  Rd | Player (Pos) | School | PK (Overall)
---|---|---|---
