# Steelers All-Time Draft Picks | Pittsburgh Steelers - Steelers.com

12  |  Cornelius Benton (QB)  |  Connecticut  |  318  
**1991 15th Overall (7 offensive, 5 defensive)**  
Table inside Article  Rd | Player (Pos) | School | PK (Overall)
---|---|---|---
1  |  Huey Richardson (DE)  |  Florida  |  15
2  |  Jeff Graham (WR)  |  Ohio State  |  46
3  |  Ernie Mills (WR)  |  Florida  |  73
4a  |  Sammy Walker (DB)  |  Texas Tech  |  88
4b  |  Choice to L.A. Raiders  |  |
4c  |  Adrian Cooper (TE)  |  Oklahoma  |  103
5  |  Choice to San Diego  |  |
6  |  Leroy Thompson (RB)  |  Penn State  |  158
7  |  Andre Jones (LB)  |  Notre Dame  |  185
8  |  Dean Dingman (G)  |  Michigan  |  212
9  |  Bruce McGonnigal (TE)  |  Virginia  |  238
10  |  Ariel Solomon (T)  |  Colorado  |  269
11  |  Efrum Thomas (DB)  |  Alabama  |  296
12  |  Jeff Brady (LB)  |  Kentucky  |  323  
**1990 21st Overall (7 offensive, 6 defensive)**  
Table inside Article  Rd | Player (Pos) | School | PK (Overall)
---|---|---|---
1  |  Choice to Dallas  |  |
