# Steelers All-Time Draft Picks | Pittsburgh Steelers - Steelers.com

**1990 21st Overall (7 offensive, 6 defensive)**  
Table inside Article  Rd | Player (Pos) | School | PK (Overall)
---|---|---|---
1  |  Choice to Dallas  |  |
1b  |  Eric Green (TE)  |  Liberty  |  21
2  |  Kenny Davidson (DE)  |  LSU  |  43
3a  |  Neil O'Donnell (QB)  |  Maryland  |  70
3b  |  Craig Veasey (DT)  |  Houston  |  81
4  |  Chris Calloway (WR)  |  Michigan  |  97
5  |  Barry Foster (RB)  |  Arkansas  |  128
6  |  Ron Heard (WR)  |  Bowling Green  |  155
7  |  Dan Grayson (LB)  |  Washington State  |  182
8  |  Karl Dunbar (DT)  |  LSU  |  209
9  |  Gary Jones (DB)  |  Texas A&M  |  239
10  |  Eddie Miles (LB)  |  Minnesota  |  266
11  |  Justin Strzelczyk (T)  |  Maine  |  293
12  |  Richard Bell (RB)  |  Nebraska  |  319  
**1989 7th Overall (5 offensive, 8 defensive)**  
Table inside Article  Rd | Player (Pos) | School | PK (Overall)
---|---|---|---
1a  |  Tim Worley (RB)  |  Georgia  |  7
1b  |  Tom Ricketts (T)  |  Pittsburgh  |  24
