# Steelers All-Time Draft Picks | Pittsburgh Steelers - Steelers.com

Table inside Article  Rd | Player (Pos) | School | PK (Overall)
---|---|---|---
1a  |  Tim Worley (RB)  |  Georgia  |  7
1b  |  Tom Ricketts (T)  |  Pittsburgh  |  24
2  |  Carnell Lake (S)  |  UCLA  |  34
3  |  Derek Hill (WR)  |  Arizona  |  61
4  |  Jerrol Williams (LB)  |  Purdue  |  91
5  |  David Arnold (S)  |  Michigan  |  118
6  |  Mark Stock (WR)  |  VMI  |  144
7  |  D.J. Johnson (CB)  |  Kentucky  |  174
8  |  Chris Asbeck (NT)  |  Cincinnati  |  201
9  |  A.J. Jenkins (DE)  |  Cal State Fullerton  |  228
10  |  Jerry Olsavsky (LB)  |  Pittsburgh  |  258
11  |  Brian Slater (WR)  |  Washington  |  285
12  |  Carlton Haselrig (DE)  |  Pitt-Johnstown  |  312  
**1988 18th Overall (7 offensive, 6 defensive)**  
Table inside Article  Rd | Player (Pos) | School | PK (Overall)
---|---|---|---
1  |  Aaron Jones (DE)  |  Eastern Kentucky  |  18
2  |  Dermontti Dawson (G)  |  Kentucky  |  44
3  |  Chuck Lanza (C)  |  Notre Dame  |  70
4  |  Choice to Kansas City  |  |
