# Steelers All-Time Draft Picks | Pittsburgh Steelers - Steelers.com

**1971 8th Overall (12 offensive, 9 defensive, 1 kicker)**  
Table inside Article  Rd | Player (Pos) | School | PK (Overall)
---|---|---|---
1  |  Frank Lewis (WR)  |  Gambling State  |  8
2  |  Jack Ham (LB)  |  Penn State  |  34
3  |  Steve Davis (RB)  |  Delaware State  |  60
4a  |  Gerry Mullins (TE)  |  USC  |  86
4b  |  Dwight White (DE)  |  Texas A&M-Commerce  |  104
5a  |  Larry Brown (TE)  |  Kansas  |  106
5b  |  Mel Holmes (T)  |  North Carolina A&T  |  112
5c  |  Ralph Anderson (DB)  |  West Texas A&M  |  126
5d  |  Fred Brister (LB)  |  Mississippi  |  128
6  |  Craig Hanneman (T)  |  Oregon State  |  138
7  |  Worthy McClure (T)  |  Mississippi  |  164
8a  |  Larry Crowe (RB)  |  Texas Southern  |  184
8b  |  Paul Rogers (K)  |  Nebraska  |  190
8c  |  Ernie Holmes (DT)  |  Texas Southern  |  203
9  |  Mike Anderson (LB)  |  LSU  |  216
10  |  Jim O'Shea (TE)  |  Boston College  |  242
11  |  Mike Wagner (DB)  |  Western Illinios  |  268
12  |  Choice to Baltimore  |  |
