# Steelers All-Time Draft Picks | Pittsburgh Steelers - Steelers.com

15  |  Ken Liberto (WR)  |  Louisiana Tech  |
16  |  Dock Mosley (WR)  |  Alcorn A&M  |
17  |  Bill Eppright (K)  |  Kent State  |  
**1968 10th Overall (8 offensive, 6 defensive, 1 kicker)**  
Table inside Article  Rd | Player (Pos) | School | PK (Overall)
---|---|---|---
1  |  Mike Taylor (OT)  |  USC  |
2  |  Ernie Ruple (OT)  |  Arkansas  |
3a  |  Choice to Cleveland  |  |
3b  |  Jon Henderson (WR)  |  Colorado State  |
3c  |  Ken Herbert (K)  |  Houston  |
4  |  Choice to Green Bay  |  |
5  |  Choice to Green Bay  |  |
6  |  Choice to Atlanta  |  |
7a  |  Doug Dalton (RB)  |  New Mexico State  |
7b  |  Bill Glennon (DT)  |  Washington  |
8  |  Danny Holman (QB)  |  San Jose State  |
9  |  John Knight (DE)  |  Weber State  |
10  |  Choice to Cleveland  |  |
11  |  Kim King (RB)  |  Georgia Tech  |
12  |  Sam Wheeler (LB)  |  Wisconsin  |
13  |  Joe Roundy (G)  |  Puget Sound  |
14  |  Lou Harris (DB)  |  Kent State  |
15  |  Bob Lanning (DE)  |  North Montana  |
