# Steelers All-Time Draft Picks | Pittsburgh Steelers - Steelers.com

12  |  Sam Wheeler (LB)  |  Wisconsin  |
13  |  Joe Roundy (G)  |  Puget Sound  |
14  |  Lou Harris (DB)  |  Kent State  |
15  |  Bob Lanning (DE)  |  North Montana  |
16  |  Rocky Bleier (RB)  |  Notre Dame  |
17  |  Bob Cole (LB)  |  South Carolina  |  
**1967 9th Overall (11 offensive, 3 defensive)**  
Table inside Article  Rd | Player (Pos) | School | PK (Overall)
---|---|---|---
1  |  Choice to Green Bay  |  |
2  |  Don Shy (RB)  |  San Diego State  |
3a  |  Choice to San Francisco  |  |
3b  |  Rockne Freitas (C)  |  Oregon State  |
4  |  Ray May (LB)  |  USC  |
5  |  Choice to Green Bay  |  |
6a  |  Choice to Atlanta  |  |
6b  |  Mikey Haggerty (OT)  |  Miami (Fla.)  |
7  |  Choice to Washington  |  |
8a  |  Mike Barnes (OT)  |  Purdue  |
8b  |  John Foruria (QB)  |  Idaho  |
9  |  Paul Otis (DT)  |  Houston  |
10  |  Bill Wilsey (LB)  |  Fresno State  |
11  |  Jim Whitcomb (WR)  |  Emporia State (Kan.)  |
12  |  Choice to Baltimore  |  |
13  |  Jim Homan (G)  |  USC  |
