# Steelers All-Time Draft Picks | Pittsburgh Steelers - Steelers.com

7  |  Charlie Browning (RB)  |  Washington  |
8  |  Bill Howley (E)  |  Pittsburgh  |
9  |  Tom Neville (T)  |  Mississippi State  |
10  |  Dave Tobey (C)  |  Oregon  |
11  |  Frank Molden (T)  |  Jackson State  |
12  |  Craig Lofquist (B)  |  Minnesota  |
13  |  J.R. Wilburn (B)  |  South Carolina  |
14  |  Jim Butler (B)  |  Edward Waters  |
15  |  John Carrell (T)  |  Texas Tech  |
16  |  Doug Dusenbury (K)  |  Kansas State  |
17  |  Whit Canale (B)  |  Tennessee  |
18  |  Bob Howard (B)  |  Stanford  |
19  |  Lonnie Price (B)  |  Southwestern Louisiana  |
20  |  Craig Fertig (QB)  |  South Carolina  |  
**1964 10th Overall**  
Table inside Article  Rd | Player (Pos) | School | PK (Overall)
---|---|---|---
1  |  Paul Martha (B)  |  Pittsburgh  |
2a  |  Choice to Chicago  |  |
2b  |  Jim Kelly (E)  |  Notre Dame  |
3  |  Ralph Baker (LB)  |  Penn State  |
4  |  Ben McGee (T)  |  Jackson State  |
5  |  T.W. Alley (T)  |  William & Mary  |
6  |  Tom Gibson (G)  |  South Carolina  |
