# Steelers All-Time Draft Picks | Pittsburgh Steelers - Steelers.com

**1962 5th Overall**  
Table inside Article  Rd | Player (Pos) | School | PK (Overall)
---|---|---|---
1  |  Bob Ferguson (B)  |  Ohio State  |
2  |  Choice to Chicago  |  |
3  |  Choice to Los Angeles  |  |
4  |  Choice to Detroit  |  |
5  |  Choice to Baltimore  |  |
6  |  Choice to San Francisco  |  |
7  |  Jack Collins (B)  |  Texas  |
8  |  Gary Ballman (B)  |  Michigan State  |
9  |  John Powers (E)  |  Notre Dame  |
10  |  Larry Vignali (G)  |  Pittsburgh  |
11  |  Bob Willis (E)  |  California  |
12  |  Sam Mudie (QB)  |  Rutgers  |
13  |  Dave Woodward (T)  |  Auburn  |
14  |  Jim Whittaker (E)  |  Nevada  |
15  |  Vern Hatch (E)  |  North Carolina College  |
16  |  Bobby Ply (QB)  |  Baylor  |
17  |  Nat Tucker (B)  |  Florida A&M  |
18  |  Darrell Yarbrough (T)  |  Northwest Louisiana State  |
19  |  John Kuprok (E)  |  Pittsburgh  |
20  |  John Knight (B)  |  Valparaiso  |  
**1961 6th Overall**  
Table inside Article  Rd | Player (Pos) | School | PK (Overall)
