# https://www.steelers.com/game-day/2025/preseason-week2/buccaneers-at-steelers/

---|---|---
240 | Total Net Yards | 316
7 | Total Penalties | 7
54 | Penalty Yards | 53
00:30:29 | Time of Possession | 00:29:31  
###  Box Score  
* Tampa Bay Buccaneers  
Tampa Bay Buccaneers  
* Pittsburgh Steelers  
Pittsburgh Steelers  
* ###  Passing  
Player | CP/ATT | YDS | TD | INT
---|---|---|---|---
C. Bazelak  |  14/18  |  106  |  0  |  0
T. Bridgewater  |  6/11  |  85  |  2  |  0
K. Trask  |  3/10  |  19  |  0  |  0  
###  Rushing  
Player | ATT | YDS | LNG | TD
---|---|---|---|---
J. Williams  |  5  |  21  |  10  |  0
B. Irving  |  8  |  12  |  5  |  0
S. Tucker  |  4  |  6  |  6  |  0
K. Trask  |  1  |  4  |  4  |  0
O. Wright  |  4  |  3  |  3  |  0
C. Bazelak  |  2  |  -5  |  -2  |  0  
###  Receiving  
Player | REC | YDS | LNG | TD
---|---|---|---|---
S. Shepard  |  3  |  47  |  27  |  0
G. Greene  |  3  |  25  |  13  |  0
T. Johnson  |  4  |  24  |  11  |  0
J. McMillan  |  1  |  18  |  18  |  0
B. Irving  |  1  |  15  |  15  |  1
T. Taula  |  1  |  15  |  15  |  0
