# Steelers Hall of Fame | Pittsburgh Steelers - Steelers.com

# Steelers Hall of Fame | Pittsburgh Steelers - Steelers.com  
####  
Pro Football Hall of Fame  
The Pro Football Hall of Fame was established in 1963 to honor the heroes of the game, preserve the history of professional football, promote the Pro Football Hall of Fame's values, and celebrate excellence everywhere.  
Visit ProFootballHOF.com  
Table inside Article  Name | Position (Years with the Steelers) | Year Inducted
---|---|---
Bert Bell |  Co-owner (1940 - 1945)  |  1963
Jerome Bettis |  Running Back (1993 - 1995, Rams; 1996 - 2005, Steelers)  |  2015
Mel Blount |  Cornerback (1970 - 1983)  |  1989
Terry Bradshaw |  Quarterback (1970 - 1983)  |  1989
Jack Butler |  Cornerback (1951 - 1959)  |  2012
Bill Cowher |  Head Coach (1992 - 2006)  |  2020
Dermontti Dawson |  Center (1988 - 2000)  |  2012
Bill Dudley |  Halfback (1942, 1945 - 1946)  |  1966
Alan Faneca |  Guard (1998-2007)  |  2021
Joe Greene |  Defensive Tackle (1969 - 1981); Coach (1987 - 1991)  |  1987
