## âFormer Coaches and Contributors

Name | Position (Years with the Steelers) | Year Inducted
---|---|---
Jerome Bettis |  Running Back (1996 - 2005)  |  2017
Rocky Bleier |  Running Back (1968, 1970-80)  |  2018
Mel Blount |  Cornerback (1970 - 1983)  |  2017
Terry Bradshaw |  Quarterback (1970 - 1983)  |  2017
Larry Brown |  Tight End/Tackle (1971 - 1984)  |  2019
Jack Butler |  Cornerback (1951 - 1959)  |  2017
Myron Cope |  Broadcaster (1970 - 2004)  |  2022
Bill Cowher |  Head Coach (1992 - 2006)  |  2019
Sam Davis |  Guard (1967 - 1979)  |  2022
Dermontti Dawson |  Center (1988 - 2000)  |  2017
Buddy Dial |  Wide Receiver (1959-63)  |  2018
Bill Dudley |  Halfback (1942, 1945 - 1946)  |  2017
Alan Faneca |  Guard (1998-2007)  |  2018
James Farrior |  Linebacker (2002 - 2011)  |  2020
Jason Gildon |  Linebacker (1994 - 2003)  |  2024
Joe Greene |  Defensive Tackle (1969 - 1981); Coach (1987 - 1991)  |  2017
Kevin Greene |  Linebacker (1993 - 1995)  |  2017
L.C. Greenwood |  Defensive End (1969 - 1981)  |  2017
