# Steelers Team MVP Award | Pittsburgh Steelers - Steelers.com

# Steelers Team MVP Award | Pittsburgh Steelers - Steelers.com  
The Steelers team MVP Award is presented annually to the team's most valuable player, as voted on by the players.  
A list of past recipients ...  
Year | Player | Position
---|---|---
1969  |  Roy Jefferson  |  WR
1970  |  Joe Greene  |  DT
1971  |  Andy Russell  |  LB
1972  |  Franco Harris  |  RB
1973  |  Ron Shanklin  |  WR
1974  |  Glen Edwards  |  S
1975  |  Mel Blount  |  CB
1976  |  Jack Lambert  |  LB
1977  |  Terry Bradshaw  |  QB
1978  |  Terry Bradshaw  |  QB
1979  |  John Stallworth  |  WR
1980  |  Donnie Shell  |  SS
1981  |  Jack Lambert  |  LB
1982  |  Dwayne Woodruff  |  CB
1983  |  Gary Anderson  |  K
1984  |  John Stallworth  |  WR
1985  |  Louis Lipps  |  WR
1986  |  Bryan Hinkle  |  LB
1987  |  Mike Merriweather  |  LB
1988  |  David Little  |  LB
|  Rod Woodson  |  CB
1989  |  Louis Lipps  |  WR
1990  |  Rod Woodson  |  CB
1991  |  Greg Lloyd  |  LB
1992  |  Barry Foster  |  RB
