# Pittsburgh Steelers 50/50 Raffle | Pittsburgh Steelers - Steelers.com
## 2025 Winning Numbers

## 2025 Winning Numbers  
Game/Event | Winning Ticket # | Winning Amount | Charity
---|---|---|---
8/16/25 Steelers vs. Buccaneers  |  5125477  |  $36,935  |  The United Way of SW PA
9/14/25 Steelers vs. Seahawks  |  1390769  |  $97,520  |  Arthur J. Rooney Scholarship Fund
10/12/25 Steelers vs. Browns  |  |  |
10/26/25 Steelers vs. Packers  |  |  |
11/2/25 Steelers vs. Colts  |  |  |
11/16/25 Steelers vs. Bengals  |  |  |
11/30/25 Steelers vs. Bills  |  |  |
12/15/25 Steelers vs. Dolphins  |  |  |
TBD Steelers vs. Ravens  |  |  |
