# Pittsburgh Steelers 50/50 Raffle | Pittsburgh Steelers - Steelers.com
## 2022 Winning Numbers

## 2022 Winning Numbers  
Table inside Article  Game/Event | Winning Ticket # | Winning Amount | Charity
---|---|---|---
8/13/22 Steelers vs. Seahawks  |  #1859515  |  $27,213  |  Steelers Youth Football Fund
8/28/22 Steelers vs. Lions  |  #5886194  |  $27,710  |  The United Way of SW PA
9/18/22 Steelers vs. Patriots  |  #3376650  |  $66,133  |  Art Rooney Scholarship Fund
10/2/22 Steelers vs. Jets  |  #9142095  |  $57,640  |  Steelers Youth Football Fund
10/16/22 Steelers vs. Buccaneers  |  #6392668  |  $63,128  |  Cancer Charities (Crucial Catch)
11/13/22 Steelers vs. Saints  |  #1227653  |  $54,580  |  Chuck Noll Foundation
11/20/22 Steelers vs. Bengals  |  #7377481  |  $38,050  |  Local Military Charities
12/11/22 Steelers vs. Ravens  |  #9148554  |  $50,375  |  The United Way
12/23/22 Steelers vs. Raiders  |  #2586325  |  $17,298  |  Salvation Army and Childrenâs Hospital
1/8/23 Steelers vs. Browns  |  #9318481  |  $49,360  |  The United Way & Greater Pgh Community Food Bank
