# Pittsburgh Steelers 50/50 Raffle | Pittsburgh Steelers - Steelers.com
## â2018 Winning Numbers

## â2018 Winning Numbers  
Table inside Article  Game/Event | Winning Ticket # | Winning Amount | Charity
---|---|---|---
2018 Family Fest  |  581095  |  $4,135  |  Steelers Youth Football Fund
8/25/18 Steelers vs. Titans  |  543098  |  $22,513  |  Steelers Youth Football Fund
8/30/18 Steelers vs. Panthers  |  423737  |  $17,425  |  The United Way
9/16/18 Steelers vs. Chiefs  |  964256  |  $66,845  |  The Arthur J. Rooney Scholarship Fund
9/30/18 Steelers vs. Ravens  |  654468  |  $63,690  |  Steelers Charities: Medical Research Fund
10/07/2018 Steelers vs. Falcons  |  496789  |  $64,625  |  Susan G. Komen Greater Pennsylvania Foundation and Cancer Research at the UPMC Hillman Cancer Center
10/28/2018 Steelers vs. Browns  |  345747  |  $63,837  |  Steelers Youth Football Fund
11/8/2018 Steelers vs. Panthers  |  893394  |  $54,110  |  Local Military Charities
12/2/2018 Steelers vs. Chargers  |  566121  |  $61,312  |  The United Way
