# Pittsburgh Steelers 50/50 Raffle | Pittsburgh Steelers - Steelers.com
## â2017 Winning Numbers

## â2017 Winning Numbers  
Game | Winning Ticket # | Winning Amount | Charity
---|---|---|---
8/20/17 Steelers vs. Falcons  |  356936  |  $23,635  |  Steelers Youth Football Fund
8/26/17 Steelers vs. Colts  |  406937  |  $28,840  |  The United Way
9/17/17 Steelers vs. Vikings  |  574102  |  $74,388  |  Arthur J. Rooney Scholarship Fund
10/8/17 Steelers vs. Jaguars  |  252363  |  $69,273  |  Susan G. Komen® Foundation's Breast Cancer Awareness Programs
10/22/17 Steelers vs. Bengals  |  273392  |  $68,025  |  UPMC Sports Medicine Concussion Program
11/16/17 Steelers vs. Titans  |  313521  |  $54,875  |  The Pittsburgh Steelers Salute to Service platform
11/26/17 Steelers vs. Packers  |  458941  |  $56,252  |  Steelers Charities Youth Football Fund
12/10/17 Steelers vs. Ravens  |  279829  |  $54,662  |  Thomas E. Starzl Transplantation Institute
12/17/17 Steelers vs. Patriots  |  237560  |  $70,155  |  Wreaths Across America and The United Way
