# Steelers Player Roster | Pittsburgh Steelers - Steelers.com

# Steelers Player Roster | Pittsburgh Steelers - Steelers.com  
Presented By  
#### Active  
Active  Player | # | Pos | HT | WT | Age | Exp | College
---|---|---|---|---|---|---|---
Calvin Anderson | 67 | OT | 6-5 | 300 | 29 | 7 | Texas
Spencer Anderson | 74 | OL | 6-5 | 305 | 25 | 3 | Maryland
Calvin Austin III | 19 | WR | 5-9 | 162 | 26 | 4 | Memphis
Keeanu Benton | 95 | DL | 6-4 | 309 | 24 | 3 | Wisconsin
Yahya Black | 94 | DE | 6-5 | 336 | 23 | R | Iowa
Chris Boswell | 9 | K | 6-2 | 185 | 34 | 11 | Rice
Carson Bruener | 44 | LB | 6-1 | 227 | 24 | R | Washington
Chuck Clark | 21 | DB | 6-0 | 210 | 30 | 9 | Virginia Tech
Brandin Echols | 26 | CB | 5-10 | 179 | 27 | 5 | Kentucky
Daniel Ekuale | 96 | DT | 6-3 | 300 | 31 | 7 | Washington State
DeShon Elliott | 25 | S | 6-0 | 210 | 28 | 8 | Texas
Troy Fautanu | 76 | OT | 6-4 | 317 | 24 | 2 | Washington
Zach Frazier | 54 | C | 6-3 | 310 | 24 | 2 | West Virginia
Pat Freiermuth | 88 | TE | 6-5 | 258 | 26 | 5 | Penn State
