# Steelers Depth Chart | Pittsburgh Steelers - Steelers.com
## Offense

##  Offense  
Offense  Position | First | Second | Third | Fourth | Fifth
---|---|---|---|---|---
LT  |  Broderick Jones |  Calvin Anderson |  |  |
LG  |  Isaac Seumalo |  Spencer Anderson |  |  |
C  |  Zach Frazier |  Ryan McCollum |  |  |
RG  |  Mason McCormick |  |  |  |
RT  |  Troy Fautanu |  Andrus Peat |  |  |
TE  |  Pat Freiermuth Jonnu Smith |  |  |  |
TE  |  Darnell Washington |  |  |  |
RB  |  Jaylen Warren |  Kenneth Gainwell |  Kaleb Johnson |  |
FB  |  Connor Heyward |  |  |  |
QB  |  Aaron Rodgers |  Mason Rudolph |  |  |
WR  |  Calvin Austin III |  Roman Wilson |  |  |
WR  |  DK Metcalf |  Scotty Miller |  Ben Skowronek |  |
