# Steelers Depth Chart | Pittsburgh Steelers - Steelers.com
## Defense

##  Defense  
Defense  Position | First | Second | Third | Fourth | Fifth
---|---|---|---|---|---
DT  |  Cameron Heyward |  Isaiahh Loudermilk |  Esezi Otomewo |  |
NT  |  Keeanu Benton |  Daniel Ekuale |  Logan Lee |  |
DE  |  Derrick Harmon |  Yahya Black |  |  |
LOLB  |  T.J. Watt |  Jack Sawyer |  |  |
LILB  |  Patrick Queen |  Carson Bruener |  |  |
RILB  |  Payton Wilson |  Cole Holcomb |  |  |
ROLB  |  Alex Highsmith |  Nick Herbig |  |  |
LCB  |  Darius Slay |  Brandin Echols |  |  |
FS  |  Juan Thornhill |  Miles Killebrew |  |  |
SS  |  DeShon Elliott |  Chuck Clark |  Jabrill Peppers |  |
RCB  |  Joey Porter Jr. |  Brandin Echols |  James Pierre |  |
NB  |  Jalen Ramsey |  |  |  |
