## Career Stats

2017 | Pittsburgh Steelers | 15 | 15 | 30 | 15 | 45 | 26 | 12 | 0 | 3 |  |  |  |  |  | 2 | 1
2018 | Pittsburgh Steelers | 16 | 16 | 29 | 22 | 51 | 24 | 8 | 0 | 3 |  |  |  |  |  | 1 | 1
2019 | Pittsburgh Steelers | 16 | 16 | 51 | 32 | 83 | 39 | 9 | 0 | 6 |  |  |  |  |  | 1 | 1
2020 | Pittsburgh Steelers | 15 | 15 | 30 | 24 | 54 | 25 | 4 | 0 | 3 | 1 | 0 | 0 | 0 | 0 | 0 |
2021 | Pittsburgh Steelers | 17 | 17 | 53 | 36 | 89 | 39 | 10 | 0 | 9 | 1 | 0 | 0 | 0 | 0 | 1 | 1
2022 | Pittsburgh Steelers | 17 | 17 | 39 | 35 | 74 | 31 | 10.5 | 0 | 4 |  |  |  |  |  | 1 | 1
2023 | Pittsburgh Steelers | 11 | 11 | 25 | 8 | 33 | 18 | 2 | 0 | 1 |  |  |  |  |  | 0 |
2024 | Pittsburgh Steelers | 17 | 17 | 35 | 36 | 71 | 29 | 8 | 0 | 11 |  |  |  |  |  | 0 |
2025 | Pittsburgh Steelers | 4 | 4 | 8 | 6 | 14 | 7 | 1 | 0 | 3 |  |  |  |  |  | 1 |
TOTAL  |  |  215  |  180  |  447  |  285  |  732  |  363  |  89.5  |  0  |  61  |  2  |  0  |  0  |  0  |  0  |  9  |  7
