## Standings

---|---|---|---|---
Buffalo Bills  Bills  |  4  |  0  |  0  |  1.000
New England Patriots  Patriots  |  2  |  2  |  0  |  0.500
Miami Dolphins  Dolphins  |  1  |  3  |  0  |  0.250
New York Jets  Jets  |  0  |  4  |  0  |  0.000  
Table - Summary  AFC SOUTH  |  W  |  L  |  T  |  PCT
---|---|---|---|---
Indianapolis Colts  Colts  |  3  |  1  |  0  |  0.750
Jacksonville Jaguars  Jaguars  |  3  |  1  |  0  |  0.750
Houston Texans  Texans  |  1  |  3  |  0  |  0.250
Tennessee Titans  Titans  |  0  |  4  |  0  |  0.000  
Table - Summary  AFC WEST  |  W  |  L  |  T  |  PCT
---|---|---|---|---
Los Angeles Chargers  Chargers  |  3  |  1  |  0  |  0.750
Kansas City Chiefs  Chiefs  |  2  |  2  |  0  |  0.500
Denver Broncos  Broncos  |  2  |  2  |  0  |  0.500
Las Vegas Raiders  Raiders  |  1  |  3  |  0  |  0.250  
Advertising
