# Team Statistics
## Offense

##  Offense  
###  Passing  
Player | ATT | COMP | YDS | COMP% | YDS/ATT | TD | TD% | INT | INT% | LONG | SCK | SCK/LOST | RATE
---|---|---|---|---|---|---|---|---|---|---|---|---|---
Aaron Rodgers |  108  |  74  |  786  |  68.5  |  7.3  |  8  |  7.4  |  3  |  2.8  |  80  |  9  |  64  |  102.6
Mason Rudolph |  2  |  2  |  12  |  100  |  6  |  0  |  0  |  0  |  0  |  6  |  0  |  0  |  91.7  
###  Rushing  
Player | ATT | YDS | YDS/ATT | LNG | TD
---|---|---|---|---|---
Jaylen Warren |  43  |  132  |  3.1  |  11  |  0
Kenneth Gainwell |  35  |  154  |  4.4  |  15  |  3
Aaron Rodgers |  9  |  11  |  1.2  |  10  |  0
Kaleb Johnson |  8  |  21  |  2.6  |  9  |  0
Connor Heyward |  1  |  2  |  2  |  2  |  0  
###  Receiving  
Player | REC | YDS | YDS/REC | LNG | TD
---|---|---|---|---|---
DK Metcalf |  15  |  261  |  17.4  |  80  |  3
Jonnu Smith |  14  |  71  |  5.1  |  21  |  1
Kenneth Gainwell |  13  |  65  |  5  |  10  |  0
Jaylen Warren |  11  |  142  |  12.9  |  65  |  1
