## Offense

DK Metcalf |  15  |  261  |  17.4  |  80  |  3
Jonnu Smith |  14  |  71  |  5.1  |  21  |  1
Kenneth Gainwell |  13  |  65  |  5  |  10  |  0
Jaylen Warren |  11  |  142  |  12.9  |  65  |  1
Calvin Austin III |  10  |  139  |  13.9  |  30  |  2
Pat Freiermuth |  7  |  65  |  9.3  |  20  |  0
Darnell Washington |  3  |  20  |  6.7  |  8  |  0
Connor Heyward |  1  |  6  |  6  |  6  |  0
Ben Skowronek |  1  |  22  |  22  |  22  |  1
Roman Wilson |  1  |  7  |  7  |  7  |  0
Kaleb Johnson |  0  |  0  |  |  0  |  0
Scott Miller |  0  |  0  |  |  0  |  0  
LOAD MORE
