ID,A,B,C
1,1,1,1
2,1,1,1
3,1,1,1
4,1,1,1
5,0,0,0
6,0,1,0
7,0,0,0
8,1,1,1
9,1,1,1
10,1,1,1
11,0,0,0
12,1,1,1
13,1,1,1
14,0,0,0
15,0,0,1
16,0,0,0
17,0,0,0
18,1,1,1
19,1,1,1
20,0,0,0
21,1,1,1
22,0,0,0
23,0,1,0
24,0,0,0
25,1,1,1
26,1,1,1
27,0,0,0
28,1,1,1
29,1,1,1
30,0,0,0
31,1,1,1
32,0,0,0
33,1,0,0
34,1,1,1
35,1,1,1
36,1,0,0
37,0,0,0
38,0,1,0
39,1,1,1
40,1,1,0
41,0,0,0
42,1,1,1
43,0,0,0
44,1,1,1
45,0,0,0
46,1,1,1
47,0,0,0
48,1,1,1
49,0,0,0
50,0,0,0
51,1,1,1
52,1,1,1
53,1,1,1
54,1,1,1
55,1,1,0
56,1,1,1
57,0,0,0
58,0,0,0
59,0,0,0
60,0,0,0
61,0,0,0
62,0,0,0
63,1,1,1
64,0,0,0
65,0,0,0
66,1,1,1
67,0,0,0
68,1,1,1
69,0,0,0
70,1,1,0
71,1,1,1
72,1,1,1
73,0,0,1
74,1,1,1
75,1,1,0
76,1,1,1
77,1,1,1
78,0,0,0
79,0,0,0
80,0,0,0
81,1,1,1
82,1,1,1
83,0,0,0
84,1,0,0
85,0,0,0
86,0,1,0
87,1,1,1
88,1,1,1
89,1,1,1
90,1,1,1
91,1,1,1
92,1,1,1
93,1,1,1
94,1,1,1
95,1,1,1
96,1,1,1
97,1,1,1
98,1,1,1
99,0,0,0
100,0,0,0
