# FRONT OFFICE DIRECTORY

Minor League Hitting Coach | Khelyn Smith
Minor League Hitting Coach | Elys Escobar
Minor League Hitting Coach | Scott Seabol
Minor League Coach | Gary Green
Manager - Minor League | Jose Mendez
Minor League Coach | Gavi Nivar
Minor League Coach | Stephanie Lombardo
Minor League Coach | Gustavo Polanco
Minor League DR Coach | Samuel Gonzalez
Integrated Baseball Performance Coach - Major League | Jonny Tucker
Minor League Hitting Coach | Brady Conlan
Minor League Integrated Baseball Performance Coach | Justin Orton
Minor League Hitting Coach | Casey Harms
Minor League Integrated Baseball Performance Coach | Ernesto Irizarry
Coordinator - Coaching and Player Development | Frederic Rioux
Minor League Coach | Gustavo Omana
Assistant Coach - DSL | Joel Fuentes
Development Coach | Ricky Santiago
Minor League Catching Coordinator | Chad Noble
Minor League Field Coordinator | Shawn Bowman
Coordinator - Minor League Pitching Skill Development & Rehab | Vic Black
